model,mode,N,n,success_rate
Gemma4-E4B,direct,6,50,0.08
Gemma4-E4B,direct,8,50,0.02
Gemma4-E4B,direct,10,50,0.02
Gemma4-E4B,direct,20,50,0.0
Gemma4-E4B,direct,30,50,0.0
Gemma4-E4B,enumeration_bullet,1,50,1.0
Gemma4-E4B,enumeration_bullet,2,50,0.98
Gemma4-E4B,enumeration_bullet,3,50,0.92
Gemma4-E4B,enumeration_bullet,4,50,0.96
Gemma4-E4B,enumeration_bullet,5,50,0.86
Gemma4-E4B,enumeration_bullet,6,50,0.82
Gemma4-E4B,enumeration_bullet,8,50,0.66
Gemma4-E4B,enumeration_bullet,10,50,0.8
Gemma4-E4B,enumeration_bullet,20,50,0.66
Gemma4-E4B,enumeration_bullet,30,50,0.28
Gemma4-E4B,enumeration_index,1,50,0.98
Gemma4-E4B,enumeration_index,2,50,0.98
Gemma4-E4B,enumeration_index,3,50,0.96
Gemma4-E4B,enumeration_index,4,50,0.92
Gemma4-E4B,enumeration_index,5,50,0.92
Gemma4-E4B,enumeration_index,6,50,0.86
Gemma4-E4B,enumeration_index,8,50,0.78
Gemma4-E4B,enumeration_index,10,50,0.82
Gemma4-E4B,enumeration_index,20,50,0.82
Gemma4-E4B,enumeration_index,30,50,0.78
Gemma4-E4B,native_thinking,1,50,0.94
Gemma4-E4B,native_thinking,2,50,0.98
Gemma4-E4B,native_thinking,3,50,0.74
Gemma4-E4B,native_thinking,4,50,0.8
Gemma4-E4B,native_thinking,5,50,0.8
Gemma4-E4B,native_thinking,6,50,0.78
Gemma4-E4B,native_thinking,8,50,0.76
Gemma4-E4B,native_thinking,10,50,0.7
Gemma4-E4B,native_thinking,20,50,0.72
Gemma4-E4B,native_thinking,30,50,0.7
Qwen3-1.7B,direct,1,50,0.8
Qwen3-1.7B,direct,2,50,0.44
Qwen3-1.7B,direct,3,50,0.22
Qwen3-1.7B,direct,4,50,0.06
Qwen3-1.7B,direct,5,50,0.12
Qwen3-1.7B,direct,6,50,0.06
Qwen3-1.7B,direct,8,50,0.04
Qwen3-1.7B,direct,10,50,0.18
Qwen3-1.7B,direct,20,50,0.0
Qwen3-1.7B,direct,30,50,0.04
Qwen3-1.7B,enumeration_bullet,1,50,0.62
Qwen3-1.7B,enumeration_bullet,2,50,0.52
Qwen3-1.7B,enumeration_bullet,3,50,0.5
Qwen3-1.7B,enumeration_bullet,4,50,0.62
Qwen3-1.7B,enumeration_bullet,5,50,0.6
Qwen3-1.7B,enumeration_bullet,6,50,0.28
Qwen3-1.7B,enumeration_bullet,8,50,0.4
Qwen3-1.7B,enumeration_bullet,10,50,0.2
Qwen3-1.7B,enumeration_bullet,20,50,0.02
Qwen3-1.7B,enumeration_bullet,30,50,0.04
Qwen3-1.7B,enumeration_index,1,50,0.44
Qwen3-1.7B,enumeration_index,2,50,0.46
Qwen3-1.7B,enumeration_index,3,50,0.12
Qwen3-1.7B,enumeration_index,4,50,0.28
Qwen3-1.7B,enumeration_index,5,50,0.32
Qwen3-1.7B,enumeration_index,6,50,0.2
Qwen3-1.7B,enumeration_index,8,50,0.18
Qwen3-1.7B,enumeration_index,10,50,0.26
Qwen3-1.7B,enumeration_index,20,50,0.1
Qwen3-1.7B,enumeration_index,30,50,0.12
Qwen3-1.7B,native_thinking,1,50,0.68
Qwen3-1.7B,native_thinking,2,50,0.88
Qwen3-1.7B,native_thinking,3,50,0.92
Qwen3-1.7B,native_thinking,4,50,0.9
Qwen3-1.7B,native_thinking,5,50,0.84
Qwen3-1.7B,native_thinking,6,50,0.74
Qwen3-1.7B,native_thinking,8,50,0.58
Qwen3-1.7B,native_thinking,10,50,0.3
Qwen3-1.7B,native_thinking,20,50,0.12
Qwen3-1.7B,native_thinking,30,50,0.06
Qwen3-32B,direct,1,50,1.0
Qwen3-32B,direct,2,50,1.0
Qwen3-32B,direct,3,50,0.9
Qwen3-32B,direct,4,50,0.94
Qwen3-32B,direct,5,50,0.84
Qwen3-32B,direct,6,50,0.7
Qwen3-32B,direct,8,50,0.32
Qwen3-32B,direct,10,50,0.2
Qwen3-32B,direct,20,50,0.02
Qwen3-32B,direct,30,50,0.08
Qwen3-32B,enumeration_bullet,1,50,1.0
Qwen3-32B,enumeration_bullet,2,50,1.0
Qwen3-32B,enumeration_bullet,3,50,1.0
Qwen3-32B,enumeration_bullet,4,50,1.0
Qwen3-32B,enumeration_bullet,5,50,1.0
Qwen3-32B,enumeration_bullet,6,50,1.0
Qwen3-32B,enumeration_bullet,8,50,1.0
Qwen3-32B,enumeration_bullet,10,50,0.96
Qwen3-32B,enumeration_bullet,20,50,0.34
Qwen3-32B,enumeration_bullet,30,50,0.28
Qwen3-32B,enumeration_index,1,50,1.0
Qwen3-32B,enumeration_index,2,50,1.0
Qwen3-32B,enumeration_index,3,50,0.98
Qwen3-32B,enumeration_index,4,50,0.96
Qwen3-32B,enumeration_index,5,50,0.98
Qwen3-32B,enumeration_index,6,50,0.98
Qwen3-32B,enumeration_index,8,50,0.96
Qwen3-32B,enumeration_index,10,50,1.0
Qwen3-32B,enumeration_index,20,50,0.96
Qwen3-32B,enumeration_index,30,50,0.92
Qwen3-32B,native_thinking,1,50,0.96
Qwen3-32B,native_thinking,2,50,0.98
Qwen3-32B,native_thinking,3,50,0.98
Qwen3-32B,native_thinking,4,50,0.96
Qwen3-32B,native_thinking,5,50,1.0
Qwen3-32B,native_thinking,6,50,0.96
Qwen3-32B,native_thinking,8,50,1.0
Qwen3-32B,native_thinking,10,50,1.0
Qwen3-32B,native_thinking,20,50,0.96
Qwen3-32B,native_thinking,30,50,0.96
Qwen3-4B,direct,1,50,0.96
Qwen3-4B,direct,2,50,0.98
Qwen3-4B,direct,3,50,0.84
Qwen3-4B,direct,4,50,0.38
Qwen3-4B,direct,5,50,0.2
Qwen3-4B,direct,6,50,0.36
Qwen3-4B,direct,8,50,0.2
Qwen3-4B,direct,10,50,0.24
Qwen3-4B,direct,20,50,0.08
Qwen3-4B,direct,30,50,0.08
Qwen3-4B,enumeration_bullet,1,50,0.82
Qwen3-4B,enumeration_bullet,2,50,0.96
Qwen3-4B,enumeration_bullet,3,50,0.94
Qwen3-4B,enumeration_bullet,4,50,0.88
Qwen3-4B,enumeration_bullet,5,50,0.88
Qwen3-4B,enumeration_bullet,6,50,0.92
Qwen3-4B,enumeration_bullet,8,50,0.92
Qwen3-4B,enumeration_bullet,10,50,0.8
Qwen3-4B,enumeration_bullet,20,50,0.5
Qwen3-4B,enumeration_bullet,30,50,0.44
Qwen3-4B,enumeration_index,1,50,0.8
Qwen3-4B,enumeration_index,2,50,0.92
Qwen3-4B,enumeration_index,3,50,1.0
Qwen3-4B,enumeration_index,4,50,0.98
Qwen3-4B,enumeration_index,5,50,0.98
Qwen3-4B,enumeration_index,6,50,0.96
Qwen3-4B,enumeration_index,8,50,0.92
Qwen3-4B,enumeration_index,10,50,0.84
Qwen3-4B,enumeration_index,20,50,0.8
Qwen3-4B,enumeration_index,30,50,0.68
Qwen3-4B,native_thinking,1,50,1.0
Qwen3-4B,native_thinking,2,50,0.98
Qwen3-4B,native_thinking,3,50,0.98
Qwen3-4B,native_thinking,4,50,1.0
Qwen3-4B,native_thinking,5,50,1.0
Qwen3-4B,native_thinking,6,50,1.0
Qwen3-4B,native_thinking,8,50,0.92
Qwen3-4B,native_thinking,10,50,0.94
Qwen3-4B,native_thinking,20,50,0.78
Qwen3-4B,native_thinking,30,50,0.68
Qwen3-8B,direct,1,50,0.92
Qwen3-8B,direct,2,50,1.0
Qwen3-8B,direct,3,50,0.9
Qwen3-8B,direct,4,50,0.7
Qwen3-8B,direct,5,50,0.28
Qwen3-8B,direct,6,50,0.42
Qwen3-8B,direct,8,50,0.56
Qwen3-8B,direct,10,50,0.54
Qwen3-8B,direct,20,50,0.24
Qwen3-8B,direct,30,50,0.14
Qwen3-8B,enumeration_bullet,1,50,1.0
Qwen3-8B,enumeration_bullet,2,50,1.0
Qwen3-8B,enumeration_bullet,3,50,1.0
Qwen3-8B,enumeration_bullet,4,50,0.98
Qwen3-8B,enumeration_bullet,5,50,1.0
Qwen3-8B,enumeration_bullet,6,50,0.98
Qwen3-8B,enumeration_bullet,8,50,0.96
Qwen3-8B,enumeration_bullet,10,50,0.94
Qwen3-8B,enumeration_bullet,20,50,0.74
Qwen3-8B,enumeration_bullet,30,50,0.34
Qwen3-8B,enumeration_index,1,50,0.96
Qwen3-8B,enumeration_index,2,50,1.0
Qwen3-8B,enumeration_index,3,50,1.0
Qwen3-8B,enumeration_index,4,50,1.0
Qwen3-8B,enumeration_index,5,50,1.0
Qwen3-8B,enumeration_index,6,50,0.98
Qwen3-8B,enumeration_index,8,50,0.98
Qwen3-8B,enumeration_index,10,50,0.94
Qwen3-8B,enumeration_index,20,50,0.88
Qwen3-8B,enumeration_index,30,50,0.86
Qwen3-8B,native_thinking,1,50,0.98
Qwen3-8B,native_thinking,2,50,0.98
Qwen3-8B,native_thinking,3,50,1.0
Qwen3-8B,native_thinking,4,50,1.0
Qwen3-8B,native_thinking,5,50,0.98
Qwen3-8B,native_thinking,6,50,1.0
Qwen3-8B,native_thinking,8,50,0.98
Qwen3-8B,native_thinking,10,50,0.94
Qwen3-8B,native_thinking,20,50,0.86
Qwen3-8B,native_thinking,30,50,0.84
