model_label,query_variant,response_type,bank_size,metric,primary_endpoint,seed_clusters,effect,ci95_low,ci95_high,sign_flip_p,sign_flip_method,sign_flip_assignments,holm_p_within_model,holm_p_pooled_primary_family
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,16,token_accuracy_specificity,False,12,-0.003441758972104974,-0.014553573986359014,0.005635726849566896,0.5625,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,32,all_accuracy_damage_specificity,True,12,0.010387795595220245,-9.578544061302682e-05,0.02411248087162966,0.1875,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,32,clean_correct_to_wrong_specificity,True,12,0.0076100178174424655,-0.0012382020371927856,0.02115014090340239,0.375,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,bare_or_list,32,token_accuracy_specificity,False,12,0.00933560704303169,5.635270563781898e-05,0.022539029792291276,0.125,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,1,all_accuracy_damage_specificity,True,12,-0.0010618856364744062,-0.00842818428184282,0.004764987748538514,0.8125,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,1,clean_correct_to_wrong_specificity,True,12,0.0028270032524144832,0.0,0.005781247911140141,0.25,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,1,token_accuracy_specificity,False,12,0.0008332147931087828,-0.0033141762452107274,0.004672171575911271,0.75,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,2,all_accuracy_damage_specificity,True,12,0.0021079905624357023,-0.006387734835711201,0.01021748217790059,0.59375,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,2,clean_correct_to_wrong_specificity,True,12,0.000984032039051892,-0.0011805042292847166,0.003988886788092688,0.75,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,2,token_accuracy_specificity,False,12,0.0011670333714785116,-0.0031144781144781136,0.005023533778236121,0.609375,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,4,all_accuracy_damage_specificity,True,12,0.0011868722540513698,-0.01305265016757966,0.011876528633819302,0.890625,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,4,clean_correct_to_wrong_specificity,True,12,0.003938575106328936,0.0004516711833785006,0.008071830459539617,0.125,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,4,token_accuracy_specificity,False,12,0.0008686396405601359,-0.0066731749216720785,0.006542054536558263,0.828125,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,8,all_accuracy_damage_specificity,True,12,0.008625659438406779,0.0032230128149603183,0.015058182867627364,0.015625,exact_enumeration,4096,1.0,0.1875
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,8,clean_correct_to_wrong_specificity,True,12,0.008424700063596831,0.0019537404676372347,0.016416213861530762,0.0625,exact_enumeration,4096,1.0,0.6875
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,8,token_accuracy_specificity,False,12,0.007922551283790004,0.0028990506852528144,0.014059112239745758,0.015625,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,16,all_accuracy_damage_specificity,True,12,-0.004126032203705205,-0.01843325514901398,0.007774875607542731,0.625,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,16,clean_correct_to_wrong_specificity,True,12,-0.0006273549550279547,-0.005539021164021164,0.0038114416066814256,0.875,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,16,token_accuracy_specificity,False,12,-0.0035922305168862756,-0.010938968177863785,0.0026664801433881383,0.390625,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,32,all_accuracy_damage_specificity,True,12,0.0069275952676581655,-0.005821675725444771,0.0227013158606724,0.4296875,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,32,clean_correct_to_wrong_specificity,True,12,0.007731926898139222,-0.00018057113042394763,0.021298193513186323,0.1875,exact_enumeration,4096,1.0,1.0
Qwen3-8B,response_reference_pre_reference_d1,pooled_cross_response_types,32,token_accuracy_specificity,False,12,0.005240169041798032,-0.0007906589276974505,0.013086576996753084,0.18359375,exact_enumeration,4096,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,1,all_accuracy_damage_specificity,True,9,0.0,0.0,0.0,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,1,clean_correct_to_wrong_specificity,True,9,0.0,0.0,0.0,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,1,token_accuracy_specificity,False,9,0.0,0.0,0.0,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,2,all_accuracy_damage_specificity,True,9,0.001277139208173691,0.0,0.0038314176245210726,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,2,clean_correct_to_wrong_specificity,True,9,0.0,0.0,0.0,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,2,token_accuracy_specificity,False,9,0.001277139208173691,0.0,0.0038314176245210726,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,4,all_accuracy_damage_specificity,True,9,0.001277139208173691,0.0,0.0038314176245210726,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,4,clean_correct_to_wrong_specificity,True,9,0.0,0.0,0.0,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,4,token_accuracy_specificity,False,9,0.001277139208173691,0.0,0.0038314176245210726,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,8,all_accuracy_damage_specificity,True,9,0.016443167305236272,0.0,0.044220945083014045,0.5,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,8,clean_correct_to_wrong_specificity,True,9,0.013888888888888888,0.0,0.041666666666666664,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,8,token_accuracy_specificity,False,9,0.016443167305236272,0.0,0.044220945083014045,0.5,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,16,all_accuracy_damage_specificity,True,9,-0.005787037037037037,-0.015046296296296295,0.0,0.5,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,16,clean_correct_to_wrong_specificity,True,9,-0.005787037037037037,-0.015046296296296295,0.0,0.5,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,16,token_accuracy_specificity,False,9,-0.0057870370370370385,-0.015046296296296299,0.0,0.5,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,32,all_accuracy_damage_specificity,True,9,0.0013968710089399745,-0.003472222222222222,0.007662835249042145,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,32,clean_correct_to_wrong_specificity,True,9,-0.0011574074074074073,-0.003472222222222222,0.0,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,record_template,32,token_accuracy_specificity,False,9,0.0013968710089399742,-0.003472222222222222,0.007662835249042145,1.0,exact_enumeration,512,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,1,all_accuracy_damage_specificity,True,4,-0.006666666666666667,-0.02,0.0,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,1,clean_correct_to_wrong_specificity,True,4,0.0,0.0,0.0,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,1,token_accuracy_specificity,False,4,-0.0016091954022988508,-0.004827586206896552,0.0,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,2,all_accuracy_damage_specificity,True,4,0.027777777777777776,0.0,0.08333333333333333,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,2,clean_correct_to_wrong_specificity,True,4,0.0,0.0,0.0,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,2,token_accuracy_specificity,False,4,0.0069444444444444475,0.0,0.020833333333333343,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,4,all_accuracy_damage_specificity,True,4,0.03111111111111111,0.0,0.08333333333333333,0.5,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,4,clean_correct_to_wrong_specificity,True,4,0.006944444444444445,0.0,0.020833333333333336,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,4,token_accuracy_specificity,False,4,0.006348180076628357,-0.001788793103448272,0.020833333333333343,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,8,all_accuracy_damage_specificity,True,4,-0.021111111111111115,-0.08333333333333334,0.019999999999999997,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,8,clean_correct_to_wrong_specificity,True,4,0.010416666666666666,0.0,0.03125,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,8,token_accuracy_specificity,False,4,-0.007436542145593872,-0.020833333333333343,0.0,0.5,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,16,all_accuracy_damage_specificity,True,4,0.013333333333333334,0.0,0.04,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,16,clean_correct_to_wrong_specificity,True,4,0.006944444444444445,0.0,0.020833333333333336,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,16,token_accuracy_specificity,False,4,0.0018175287356321857,0.0,0.005452586206896557,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,32,all_accuracy_damage_specificity,True,4,0.01055555555555555,-0.08333333333333334,0.12166666666666667,1.0,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,32,clean_correct_to_wrong_specificity,True,4,0.04513888888888889,0.0,0.125,0.5,exact_enumeration,16,1.0,
Qwen3-8B,response_reference_pre_reference_d1,semantic_cue,32,token_accuracy_specificity,False,4,0.0054394157088122575,-0.020833333333333343,0.040161637931034486,1.0,exact_enumeration,16,1.0,
