model_label,grammar,layer,head,seed,request_id,from_occurrence,to_occurrence,query_output_token_index,source_index,source_city,region,is_target,raw_attention_mass
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,3,Taipei,needle_record,True,0.640580415725708
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,4,Harbin,needle_record,False,0.022469544783234596
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,5,Rome,needle_record,False,0.0008832847233861685
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,6,Antwerp,needle_record,False,0.0002527325414121151
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,7,Osaka,needle_record,False,0.00047813192941248417
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,8,Almaty,needle_record,False,0.0005357232294045389
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,9,Rotterdam,needle_record,False,0.0003661236260086298
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,10,Porto,needle_record,False,0.00011677606380544603
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,,,non_needle_context,False,0.32276832914794795
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,1,Chicago,needle_record,False,0.0005219264421612024
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,2,Baku,needle_record,False,0.003682515351101756
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,3,Taipei,needle_record,False,0.007697909604758024
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,4,Harbin,needle_record,True,0.11686720699071884
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,5,Rome,needle_record,False,0.00633641704916954
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,6,Antwerp,needle_record,False,0.00023415085161104798
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,7,Osaka,needle_record,False,0.00013744145689997822
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,8,Almaty,needle_record,False,0.0002921339182648808
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,9,Rotterdam,needle_record,False,0.0002859444066416472
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,10,Porto,needle_record,False,3.9959610148798674e-05
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,,,non_needle_context,False,0.8640909568566713
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,1,Chicago,needle_record,False,5.963886906101834e-06
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,2,Baku,needle_record,False,1.5771449398016557e-05
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,3,Taipei,needle_record,False,3.5382261557970196e-05
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,4,Harbin,needle_record,False,0.0005889183958061039
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,5,Rome,needle_record,True,0.9395285248756409
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,6,Antwerp,needle_record,False,0.007548247929662466
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,7,Osaka,needle_record,False,0.000805467483587563
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,8,Almaty,needle_record,False,0.0004947740235365927
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,9,Rotterdam,needle_record,False,0.0002531284699216485
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,10,Porto,needle_record,False,2.292688441229984e-05
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,,,non_needle_context,False,0.04926656816769537
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,1,Chicago,needle_record,False,7.89292789704632e-06
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,2,Baku,needle_record,False,1.3512595614884049e-05
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,3,Taipei,needle_record,False,0.00012072871322743595
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,4,Harbin,needle_record,False,0.0035572575870901346
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,5,Rome,needle_record,False,0.011797073297202587
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,6,Antwerp,needle_record,False,0.014636868610978127
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,7,Osaka,needle_record,True,0.9593486189842224
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,8,Almaty,needle_record,False,0.004378629848361015
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,9,Rotterdam,needle_record,False,0.0001442649372620508
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,10,Porto,needle_record,False,0.0005249883979558945
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,,,non_needle_context,False,0.004608876983184018
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,1,Chicago,needle_record,False,5.066890196303575e-08
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,2,Baku,needle_record,False,2.2150061340653338e-05
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,3,Taipei,needle_record,False,0.00017864482651930302
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,4,Harbin,needle_record,False,0.004926594905555248
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,5,Rome,needle_record,False,0.0014484294224530458
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,6,Antwerp,needle_record,False,0.00706283375620842
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,7,Osaka,needle_record,False,0.0008989765774458647
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,8,Almaty,needle_record,True,0.9658344984054565
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,9,Rotterdam,needle_record,False,0.008848470635712147
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,10,Porto,needle_record,False,0.0009609886328689754
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,,,non_needle_context,False,0.008229898324273677
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,1,Chicago,needle_record,False,9.759548902366078e-08
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,2,Baku,needle_record,False,1.6142272215802222e-05
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,3,Taipei,needle_record,False,0.0002420304372208193
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,4,Harbin,needle_record,False,0.00040853640530258417
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,5,Rome,needle_record,False,0.021830545738339424
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,6,Antwerp,needle_record,False,0.0037512253038585186
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,7,Osaka,needle_record,False,0.0008483005221933126
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,8,Almaty,needle_record,False,0.01163852121680975
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,9,Rotterdam,needle_record,True,0.9005060195922852
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,10,Porto,needle_record,False,0.05022125691175461
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,8,9,320,,,non_needle_context,False,0.011631426864028072
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,1,Chicago,needle_record,False,2.3894739570096135e-05
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,2,Baku,needle_record,False,0.0009040547301992774
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,3,Taipei,needle_record,False,0.0013888201210647821
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,4,Harbin,needle_record,False,0.0013060093624517322
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,5,Rome,needle_record,False,0.009637562558054924
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,6,Antwerp,needle_record,False,0.02187424711883068
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,7,Osaka,needle_record,False,0.1645500510931015
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,8,Almaty,needle_record,False,0.022312209010124207
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,9,Rotterdam,needle_record,False,0.005243739578872919
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,10,Porto,needle_record,True,0.684516429901123
Qwen3-8B,adjacent_rank_after_city,20,30,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,9,10,346,,,non_needle_context,False,0.08913502490031533
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,1,Chicago,needle_record,False,0.05791807174682617
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,2,Baku,needle_record,True,0.13187730312347412
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,3,Taipei,needle_record,False,0.01275230199098587
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,4,Harbin,needle_record,False,0.003352746367454529
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,5,Rome,needle_record,False,0.0018247285624966025
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,6,Antwerp,needle_record,False,0.004208107478916645
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,7,Osaka,needle_record,False,0.0014076530933380127
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,8,Almaty,needle_record,False,0.0014985986053943634
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,9,Rotterdam,needle_record,False,0.0019129578722640872
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,10,Porto,needle_record,False,0.0038684848695993423
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,1,2,122,,,non_needle_context,False,0.7787066462915391
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,1,Chicago,needle_record,False,0.008723065257072449
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,2,Baku,needle_record,False,0.09579873830080032
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,3,Taipei,needle_record,True,0.2855481803417206
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,4,Harbin,needle_record,False,0.012607663869857788
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,5,Rome,needle_record,False,0.008074184879660606
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,6,Antwerp,needle_record,False,0.01412991527467966
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,7,Osaka,needle_record,False,0.010471884161233902
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,8,Almaty,needle_record,False,0.0015933997929096222
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,9,Rotterdam,needle_record,False,0.006511473562568426
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,10,Porto,needle_record,False,0.010823389515280724
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,2,3,157,,,non_needle_context,False,0.5460751368664205
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,1,Chicago,needle_record,False,0.004682126455008984
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,2,Baku,needle_record,False,0.05682291090488434
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,3,Taipei,needle_record,False,0.030137278139591217
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,4,Harbin,needle_record,True,0.32254141569137573
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,5,Rome,needle_record,False,0.06400240957736969
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,6,Antwerp,needle_record,False,0.030496371909976006
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,7,Osaka,needle_record,False,0.01258772611618042
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,8,Almaty,needle_record,False,0.049531109631061554
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,9,Rotterdam,needle_record,False,0.011203698813915253
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,10,Porto,needle_record,False,0.0035873258020728827
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,3,4,193,,,non_needle_context,False,0.4144929808098823
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,1,Chicago,needle_record,False,0.007360577583312988
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,2,Baku,needle_record,False,0.011970272287726402
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,3,Taipei,needle_record,False,0.030262397602200508
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,4,Harbin,needle_record,False,0.025334784761071205
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,5,Rome,needle_record,True,0.5622615218162537
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,6,Antwerp,needle_record,False,0.008983585983514786
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,7,Osaka,needle_record,False,0.005083607975393534
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,8,Almaty,needle_record,False,0.0017142761498689651
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,9,Rotterdam,needle_record,False,0.0036479830741882324
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,10,Porto,needle_record,False,0.003229954279959202
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,4,5,218,,,non_needle_context,False,0.34067532094195485
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,1,Chicago,needle_record,False,0.0015892153605818748
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,2,Baku,needle_record,False,0.03651885688304901
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,3,Taipei,needle_record,False,0.012672742828726768
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,4,Harbin,needle_record,False,0.007101573050022125
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,5,Rome,needle_record,False,0.006855813320726156
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,6,Antwerp,needle_record,False,0.004212794825434685
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,7,Osaka,needle_record,True,0.2480749636888504
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,8,Almaty,needle_record,False,0.03517390787601471
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,9,Rotterdam,needle_record,False,0.0021663904190063477
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,10,Porto,needle_record,False,0.003113077487796545
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,6,7,269,,,non_needle_context,False,0.6427484732121229
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,1,Chicago,needle_record,False,0.0005373494932428002
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,2,Baku,needle_record,False,0.005796811543405056
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,3,Taipei,needle_record,False,0.0017275726422667503
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,4,Harbin,needle_record,False,0.01500546932220459
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,5,Rome,needle_record,False,0.003536551259458065
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,6,Antwerp,needle_record,False,0.02275584265589714
Qwen3-8B,adjacent_rank_after_city,24,29,1234,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1234,7,8,294,7,Osaka,needle_record,False,0.019806452095508575
