target,model_label,prompt_mode,n,selected_spec,selected_label,candidate,estimator,transform,ridge,complexity,formula,coefficient_names,coefficients,outer_choice_stability,best_spec,best_label,best_candidate,best_estimator,best_transform,best_ridge,best_complexity,best_formula,best_coefficient_names,best_coefficients,best_outer_choice_stability
bias,Qwen3-8B,direct,150,log_interaction__asinh__ridge__0.001,Log T x log N; asinh + ridge,log_interaction,ridge,asinh,0.001,3,E[asinh(b)|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_TN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_interaction""]","[0.8794709934712281, 0.2859935213362123, 0.7785018800142386, 0.6564712693764779]",0.8,log_interaction__asinh__ridge__0.001,Log T x log N; asinh + ridge,log_interaction,ridge,asinh,0.001,3,E[asinh(b)|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_TN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_interaction""]","[0.8794709934712281, 0.2859935213362123, 0.7785018800142386, 0.6564712693764779]",0.4
absolute_error,Qwen3-8B,direct,150,log_separable__sqrt__huber__0.01,Log T + log N; sqrt + Huber,log_separable,huber,sqrt,0.01,2,E[sqrt(|b|)|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5),"[""intercept"", ""log_length"", ""log_needles""]","[1.035429535050373, 0.14375527321259968, 0.9701806075752999]",0.2,log_interaction__sqrt__huber__0.01,Log T x log N; sqrt + Huber,log_interaction,huber,sqrt,0.01,3,E[sqrt(|b|)|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_TN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_interaction""]","[1.0295422806843166, 0.148046169915506, 0.9975879939286882, 0.3098755812162241]",0.6
exact,Qwen3-8B,enumeration,150,constant__identity__logistic__0.3,Constant; ridge=0.3,constant,logistic,identity,0.3,0,logit p = alpha,"[""intercept""]",[3.003514114056987],1.0,semi_log_needles__identity__logistic__0.3,Log T + linear N; ridge=0.3,semi_log_needles,logistic,identity,0.3,2,logit p = alpha + beta_T ln(T/5000) + gamma_N (N-5)/5,"[""intercept"", ""log_length"", ""needle_linear""]","[3.022446031450554, -1.2102091674488316, 0.4459348076481544]",0.6
bias,Qwen3-8B,enumeration,149,constant__asinh__huber__0.01,Constant; asinh + Huber,constant,huber,asinh,0.01,0,E[asinh(b)|parsed] = alpha,"[""intercept""]",[-5.643317179600158e-08],1.0,log_length_only__asinh__huber__0.01,Log T only; asinh + Huber,log_length_only,huber,asinh,0.01,1,E[asinh(b)|parsed] = alpha + beta_T ln(T/5000),"[""intercept"", ""log_length""]","[-6.199665582601678e-08, -5.7113935964914205e-08]",0.4
absolute_error,Qwen3-8B,enumeration,149,constant__log1p__huber__0.01,Constant; log1p + Huber,constant,huber,log1p,0.01,0,E[log(1+|b|)|parsed] = alpha,"[""intercept""]",[5.6433171796001566e-08],0.6,constant__sqrt__huber__0.01,Constant; sqrt + Huber,constant,huber,sqrt,0.01,0,E[sqrt(|b|)|parsed] = alpha,"[""intercept""]",[5.6433171796001586e-08],1.0
exact,Qwen3-8B,native_thinking,150,constant__identity__logistic__0.3,Constant; ridge=0.3,constant,logistic,identity,0.3,0,logit p = alpha,"[""intercept""]",[3.853225196035667],1.0,length_specific_log_n__identity__logistic__0.3,T-specific log-N slopes; ridge=0.3,length_specific_log_n,logistic,identity,0.3,5,"logit p = alpha_T + beta_N,T ln(N/5)","[""intercept"", ""t_is_2000"", ""t_is_10000"", ""log_needles"", ""t2000_log_needles"", ""t10000_log_needles""]","[3.7718311955228745, 1.2725335848888668, 1.272533584888868, -1.2394396988930019, 0.7414407181857041, 0.7414407181857058]",0.0
bias,Qwen3-8B,native_thinking,147,constant__asinh__ridge__0.001,Constant; asinh + ridge,constant,ridge,asinh,0.001,0,E[asinh(b)|parsed] = alpha,"[""intercept""]",[0.0],1.0,constant__asinh__ridge__0.001,Constant; asinh + ridge,constant,ridge,asinh,0.001,0,E[asinh(b)|parsed] = alpha,"[""intercept""]",[0.0],1.0
absolute_error,Qwen3-8B,native_thinking,147,constant__log1p__ridge__0.001,Constant; log1p + ridge,constant,ridge,log1p,0.001,0,E[log(1+|b|)|parsed] = alpha,"[""intercept""]",[0.0],1.0,constant__log1p__ridge__0.001,Constant; log1p + ridge,constant,ridge,log1p,0.001,0,E[log(1+|b|)|parsed] = alpha,"[""intercept""]",[0.0],1.0
exact,Qwen3-32B,direct,150,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,quadratic_log_needles,logistic,identity,0.3,3,logit p = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_N2 ln(N/5)^2,"[""intercept"", ""log_length"", ""log_needles"", ""log_needles_sq""]","[-0.39827470146955346, -1.5961968489913898, -3.414719589283146, 1.3217369948071518]",0.4,quadratic_log_needles__identity__logistic__0.3,Log T + curved log N; ridge=0.3,quadratic_log_needles,logistic,identity,0.3,3,logit p = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_N2 ln(N/5)^2,"[""intercept"", ""log_length"", ""log_needles"", ""log_needles_sq""]","[-0.39827470146955346, -1.5961968489913898, -3.414719589283146, 1.3217369948071518]",0.8
bias,Qwen3-32B,direct,150,log_interaction__asinh__ridge__0.001,Log T x log N; asinh + ridge,log_interaction,ridge,asinh,0.001,3,E[asinh(b)|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_TN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_interaction""]","[0.7948681769710676, 0.4847142047555763, 0.773226126201555, 0.488143131985744]",0.6,length_specific_piecewise_n__asinh__huber__0.01,T-specific piecewise N; asinh + Huber,length_specific_piecewise_n,huber,asinh,0.01,6,"E[asinh(b)|parsed] = alpha_T + beta_N,T ln(N/5) + beta_H max[0,ln(N/5)]","[""intercept"", ""t_is_2000"", ""t_is_10000"", ""log_needles"", ""needle_hinge"", ""t2000_log_needles"", ""t10000_log_needles""]","[0.5811868183728172, -0.4627699362878792, 0.22648515550564122, 0.46877700174386167, 0.7944170870926766, -0.3921050785709223, 0.1409584335725988]",0.4
absolute_error,Qwen3-32B,direct,150,log_interaction__log1p__ridge__0.001,Log T x log N; log1p + ridge,log_interaction,ridge,log1p,0.001,3,E[log(1+|b|)|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_TN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_interaction""]","[0.6367470555286131, 0.34725379341860174, 0.6465203521376006, 0.31269667331227907]",0.2,quadratic_surface__sqrt__huber__0.01,Quadratic log surface; sqrt + Huber,quadratic_surface,huber,sqrt,0.01,5,E[sqrt(|b|)|parsed] = alpha + beta_T ln(T/5000) + beta_N ln(N/5) + beta_T2 ln(T/5000)^2 + beta_N2 ln(N/5)^2 + beta_TN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_length_sq"", ""log_needles_sq"", ""log_interaction""]","[0.7060261585633499, 0.437016840709949, 0.8442915604432438, -0.059915098607643116, 0.22391041507035514, 0.33670221254292754]",0.2
exact,Qwen3-32B,enumeration,150,log_burden__identity__logistic__0.3,Log burden; ridge=0.3,log_burden,logistic,identity,0.3,1,logit p = alpha + beta_B ln[(T/5000)(N/5)],"[""intercept"", ""log_burden""]","[6.169062561967249, -1.8276219014047361]",0.6,length_factor_log_n__identity__logistic__0.03,T-level intercepts + log N; ridge=0.03,length_factor_log_n,logistic,identity,0.03,3,logit p = alpha_T + beta_N ln(N/5),"[""intercept"", ""t_is_2000"", ""t_is_10000"", ""log_needles""]","[8.874720100043596, 1.0618752468882444, -3.2266846167982823, -2.497649362925388]",0.6
bias,Qwen3-32B,enumeration,150,constant__asinh__ridge__0.001,Constant; asinh + ridge,constant,ridge,asinh,0.001,0,E[asinh(b)|parsed] = alpha,"[""intercept""]",[-0.01799878830915186],1.0,constant__asinh__huber__0.01,Constant; asinh + Huber,constant,huber,asinh,0.01,0,E[asinh(b)|parsed] = alpha,"[""intercept""]",[-1.817555286788603e-08],0.2
absolute_error,Qwen3-32B,enumeration,150,constant__log1p__ridge__0.001,Constant; log1p + ridge,constant,ridge,log1p,0.001,0,E[log(1+|b|)|parsed] = alpha,"[""intercept""]",[0.013862934369242658],1.0,constant__sqrt__huber__0.01,Constant; sqrt + Huber,constant,huber,sqrt,0.01,0,E[sqrt(|b|)|parsed] = alpha,"[""intercept""]",[1.817555286788603e-08],1.0
exact,Qwen3-32B,native_thinking,150,constant__identity__logistic__0.3,Constant; ridge=0.3,constant,logistic,identity,0.3,0,logit p = alpha,"[""intercept""]",[3.570154447616155],0.8,length_factor_log_n__identity__logistic__0.3,T-level intercepts + log N; ridge=0.3,length_factor_log_n,logistic,identity,0.3,3,logit p = alpha_T + beta_N ln(N/5),"[""intercept"", ""t_is_2000"", ""t_is_10000"", ""log_needles""]","[5.186246057246444, 0.7921918937789677, -2.002480082853612, -1.0625878689351798]",0.4
bias,Qwen3-32B,native_thinking,150,constant__asinh__ridge__0.001,Constant; asinh + ridge,constant,ridge,asinh,0.001,0,E[asinh(b)|parsed] = alpha,"[""intercept""]",[-0.004764015467809583],0.8,constant__identity__huber__0.01,Constant; raw bias + Huber,constant,huber,identity,0.01,0,E[b|parsed] = alpha,"[""intercept""]",[-1.842453133882645e-08],0.2
absolute_error,Qwen3-32B,native_thinking,150,constant__log1p__ridge__0.001,Constant; log1p + ridge,constant,ridge,log1p,0.001,0,E[log(1+|b|)|parsed] = alpha,"[""intercept""]",[0.029538758966449443],1.0,constant__sqrt__huber__0.01,Constant; sqrt + Huber,constant,huber,sqrt,0.01,0,E[sqrt(|b|)|parsed] = alpha,"[""intercept""]",[3.6849062677653424e-08],1.0
