target,model_label,prompt_mode,n,selected_candidate,selected_candidate_label,formula,coefficient_names,coefficients,seed_oof_log_loss,seed_oof_log_loss_null,seed_gain_pct,seed_oof_mae,seed_oof_mae_null
bias,Qwen3-1.7B,enumeration,138,piecewise_log_needles,Log T + piecewise log N,"E[asinh(b) | parsed] = α + βT ln(T/5000) + βN ln(N/5) + βH max[0, ln(N/5)]","[""intercept"", ""log_length"", ""log_needles"", ""needle_hinge""]","[2.8638498257107936, 0.8589051167497327, 1.9625138549278471, -3.645975507682337]",,,13.048131842589733,2.3432111829756437,2.694837077834479
bias,Qwen3-1.7B,native_thinking,148,piecewise_log_needles,Log T + piecewise log N,"E[asinh(b) | parsed] = α + βT ln(T/5000) + βN ln(N/5) + βH max[0, ln(N/5)]","[""intercept"", ""log_length"", ""log_needles"", ""needle_hinge""]","[-0.10838907236099472, 0.1738637508737416, -0.24237156848610236, -0.9346314132170692]",,,44.7010539282245,0.4867264642055969,0.8801731294731157
bias,Qwen3-8B,direct,150,log_interaction,Log T × log N,E[asinh(b) | parsed] = α + βT ln(T/5000) + βN ln(N/5) + βTN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_interaction""]","[0.8794711258724849, 0.2859966195262172, 0.7785081132541942, 0.656482270980874]",,,34.26507921309056,0.6856047383282695,1.0429840488448598
bias,Qwen3-8B,enumeration,149,intercept_only,Constant,E[asinh(b) | parsed] = α,"[""intercept""]",[-0.03549155383947494],,,0.0,0.06912154088461031,0.06912154088461031
bias,Qwen3-8B,native_thinking,147,intercept_only,Constant,E[asinh(b) | parsed] = α,"[""intercept""]",[0.0],,,0.0,0.0,0.0
bias,Qwen3-32B,direct,150,log_interaction,Log T × log N,E[asinh(b) | parsed] = α + βT ln(T/5000) + βN ln(N/5) + βTN ln(T/5000)ln(N/5),"[""intercept"", ""log_length"", ""log_needles"", ""log_interaction""]","[0.7948685123833117, 0.4847207401177733, 0.7732320957000464, 0.4881509868411361]",,,46.763554178870734,0.46062946171986824,0.8652520930258023
bias,Qwen3-32B,enumeration,150,intercept_only,Constant,E[asinh(b) | parsed] = α,"[""intercept""]",[-0.017998800308224077],,,0.0,0.03569762061140158,0.03569762061140158
bias,Qwen3-32B,native_thinking,150,intercept_only,Constant,E[asinh(b) | parsed] = α,"[""intercept""]",[-0.004764018643788135],,,0.0,0.045479445879439875,0.045479445879439875
absolute_error,Qwen3-1.7B,direct,150,log_burden,Log burden,E[log(1+|b|) | parsed] = α + βB ln[(T/5000)(N/5)],"[""intercept"", ""log_burden""]","[1.03813983406537, 0.7078772387979485]",,,38.84923969037978,0.5527711244634762,0.9039480812089173
absolute_error,Qwen3-1.7B,enumeration,138,log_burden,Log burden,E[log(1+|b|) | parsed] = α + βB ln[(T/5000)(N/5)],"[""intercept"", ""log_burden""]","[1.8691221637296307, 0.6446473049707013]",,,9.146108650600596,1.6625875017876792,1.8299573932324142
absolute_error,Qwen3-1.7B,native_thinking,148,piecewise_log_needles,Log T + piecewise log N,"E[log(1+|b|) | parsed] = α + βT ln(T/5000) + βN ln(N/5) + βH max[0, ln(N/5)]","[""intercept"", ""log_length"", ""log_needles"", ""needle_hinge""]","[0.0968024722252765, -0.04148846490508893, -0.04822022696606916, 1.0368968766296434]",,,45.28186849867331,0.3538100376949432,0.6466047505411707
absolute_error,Qwen3-8B,direct,150,log_separable,Separate log T + log N,E[log(1+|b|) | parsed] = α + βT ln(T/5000) + βN ln(N/5),"[""intercept"", ""log_length"", ""log_needles""]","[0.7694449094192001, 0.14863369465392715, 0.7124843273933278]",,,43.932546818792964,0.42745421042642107,0.7623927718723227
absolute_error,Qwen3-8B,enumeration,149,intercept_only,Constant,E[log(1+|b|) | parsed] = α,"[""intercept""]",[0.027911967002226576],,,0.0,0.054359923970655886,0.054359923970655886
absolute_error,Qwen3-8B,native_thinking,147,intercept_only,Constant,E[log(1+|b|) | parsed] = α,"[""intercept""]",[0.0],,,0.0,0.0,0.0
absolute_error,Qwen3-32B,direct,150,piecewise_log_needles,Log T + piecewise log N,"E[log(1+|b|) | parsed] = α + βT ln(T/5000) + βN ln(N/5) + βH max[0, ln(N/5)]","[""intercept"", ""log_length"", ""log_needles"", ""needle_hinge""]","[0.42095627200261626, 0.38677868721103487, 0.30194280287272063, 0.5733144607891045]",,,49.26675060256013,0.33825917166302816,0.6667406004554038
absolute_error,Qwen3-32B,enumeration,150,intercept_only,Constant,E[log(1+|b|) | parsed] = α,"[""intercept""]",[0.013862943611106486],,,0.0,0.027494838162097565,0.027494838162097565
absolute_error,Qwen3-32B,native_thinking,150,intercept_only,Constant,E[log(1+|b|) | parsed] = α,"[""intercept""]",[0.0295387786587585],,,0.0,0.05789384697690624,0.05789384697690624
