request_id,stimulus_id,seed,model_label,model_id,target_passage_tokens,model_passage_tokens,model_input_tokens,num_needles,density_per_1k,prompt_mode,thinking_enabled,query_order,exact_correct,parse_success,format_failure,truncated,parse_status,finish_reason,gold_count,predicted_count,absolute_error,normalized_absolute_error,signed_error,output_tokens,error_category,missing_pairs_n,hallucinated_pairs_n,duplicate_listed_pairs_n,listed_records_n,listed_total_matches_length,pair_precision,pair_recall,pair_f1,source_file,source_line,T,N,log_length,log_needles,density_per_1k_recomputed,log_density,log_burden,needle_linear,needle_hinge,log_interaction,log_length_sq,log_needles_sq,t_is_2000,t_is_10000,t2000_log_needles,t10000_log_needles,cell_id
Qwen3-8B/direct/query_last/T10000_N20_seed1234,T10000_N20_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_last,0,1,0,0,ok,stop,20,24.0,4.0,0.2,4.0,6,overcount,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,161,10000,20,0.6931471805599453,1.3862943611198906,2.0,0.6931471805599453,2.0794415416798357,3.0,1.3862943611198906,0.9609060278364028,0.4804530139182014,1.9218120556728056,0.0,1.0,0.0,1.3862943611198906,T10000_N20
Qwen3-8B/direct/query_last/T10000_N20_seed1235,T10000_N20_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_last,0,1,0,0,ok,stop,20,34.0,14.0,0.7,14.0,6,overcount,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,162,10000,20,0.6931471805599453,1.3862943611198906,2.0,0.6931471805599453,2.0794415416798357,3.0,1.3862943611198906,0.9609060278364028,0.4804530139182014,1.9218120556728056,0.0,1.0,0.0,1.3862943611198906,T10000_N20
Qwen3-8B/direct/query_last/T10000_N20_seed1236,T10000_N20_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_last,0,1,0,0,ok,stop,20,30.0,10.0,0.5,10.0,6,overcount,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,163,10000,20,0.6931471805599453,1.3862943611198906,2.0,0.6931471805599453,2.0794415416798357,3.0,1.3862943611198906,0.9609060278364028,0.4804530139182014,1.9218120556728056,0.0,1.0,0.0,1.3862943611198906,T10000_N20
Qwen3-8B/direct/query_last/T10000_N20_seed1237,T10000_N20_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_last,0,1,0,0,ok,stop,20,25.0,5.0,0.25,5.0,6,overcount,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,164,10000,20,0.6931471805599453,1.3862943611198906,2.0,0.6931471805599453,2.0794415416798357,3.0,1.3862943611198906,0.9609060278364028,0.4804530139182014,1.9218120556728056,0.0,1.0,0.0,1.3862943611198906,T10000_N20
Qwen3-8B/direct/query_last/T10000_N20_seed1238,T10000_N20_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_last,0,1,0,0,ok,stop,20,34.0,14.0,0.7,14.0,6,overcount,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,165,10000,20,0.6931471805599453,1.3862943611198906,2.0,0.6931471805599453,2.0794415416798357,3.0,1.3862943611198906,0.9609060278364028,0.4804530139182014,1.9218120556728056,0.0,1.0,0.0,1.3862943611198906,T10000_N20
Qwen3-8B/direct/query_last/T10000_N2_seed1234,T10000_N2_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,2,0.2,direct,0,query_last,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,166,10000,2,0.6931471805599453,-0.916290731874155,0.2,-1.6094379124341003,-0.2231435513142097,-0.6,0.0,-0.6351243373717793,0.4804530139182014,0.8395887053184746,0.0,1.0,-0.0,-0.916290731874155,T10000_N2
Qwen3-8B/direct/query_last/T10000_N2_seed1235,T10000_N2_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,2,0.2,direct,0,query_last,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,167,10000,2,0.6931471805599453,-0.916290731874155,0.2,-1.6094379124341003,-0.2231435513142097,-0.6,0.0,-0.6351243373717793,0.4804530139182014,0.8395887053184746,0.0,1.0,-0.0,-0.916290731874155,T10000_N2
Qwen3-8B/direct/query_last/T10000_N2_seed1236,T10000_N2_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,2,0.2,direct,0,query_last,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,168,10000,2,0.6931471805599453,-0.916290731874155,0.2,-1.6094379124341003,-0.2231435513142097,-0.6,0.0,-0.6351243373717793,0.4804530139182014,0.8395887053184746,0.0,1.0,-0.0,-0.916290731874155,T10000_N2
Qwen3-8B/direct/query_last/T10000_N2_seed1237,T10000_N2_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,2,0.2,direct,0,query_last,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,169,10000,2,0.6931471805599453,-0.916290731874155,0.2,-1.6094379124341003,-0.2231435513142097,-0.6,0.0,-0.6351243373717793,0.4804530139182014,0.8395887053184746,0.0,1.0,-0.0,-0.916290731874155,T10000_N2
Qwen3-8B/direct/query_last/T10000_N2_seed1238,T10000_N2_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,2,0.2,direct,0,query_last,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,170,10000,2,0.6931471805599453,-0.916290731874155,0.2,-1.6094379124341003,-0.2231435513142097,-0.6,0.0,-0.6351243373717793,0.4804530139182014,0.8395887053184746,0.0,1.0,-0.0,-0.916290731874155,T10000_N2
Qwen3-8B/direct/query_last/T10000_N30_seed1234,T10000_N30_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,30,3.0,direct,0,query_last,0,1,0,0,ok,stop,30,45.0,15.0,0.5,15.0,6,overcount,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,171,10000,30,0.6931471805599453,1.791759469228055,3.0,1.0986122886681098,2.4849066497880004,5.0,1.791759469228055,1.2419530243370103,0.4804530139182014,3.210401995568401,0.0,1.0,0.0,1.791759469228055,T10000_N30
Qwen3-8B/direct/query_last/T10000_N30_seed1235,T10000_N30_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,30,3.0,direct,0,query_last,0,1,0,0,ok,stop,30,45.0,15.0,0.5,15.0,6,overcount,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,172,10000,30,0.6931471805599453,1.791759469228055,3.0,1.0986122886681098,2.4849066497880004,5.0,1.791759469228055,1.2419530243370103,0.4804530139182014,3.210401995568401,0.0,1.0,0.0,1.791759469228055,T10000_N30
Qwen3-8B/direct/query_last/T10000_N30_seed1236,T10000_N30_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,30,3.0,direct,0,query_last,0,1,0,0,ok,stop,30,34.0,4.0,0.1333333333333333,4.0,6,overcount,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,173,10000,30,0.6931471805599453,1.791759469228055,3.0,1.0986122886681098,2.4849066497880004,5.0,1.791759469228055,1.2419530243370103,0.4804530139182014,3.210401995568401,0.0,1.0,0.0,1.791759469228055,T10000_N30
Qwen3-8B/direct/query_last/T10000_N30_seed1237,T10000_N30_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,30,3.0,direct,0,query_last,0,1,0,0,ok,stop,30,45.0,15.0,0.5,15.0,6,overcount,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,174,10000,30,0.6931471805599453,1.791759469228055,3.0,1.0986122886681098,2.4849066497880004,5.0,1.791759469228055,1.2419530243370103,0.4804530139182014,3.210401995568401,0.0,1.0,0.0,1.791759469228055,T10000_N30
Qwen3-8B/direct/query_last/T10000_N30_seed1238,T10000_N30_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,30,3.0,direct,0,query_last,0,1,0,0,ok,stop,30,50.0,20.0,0.6666666666666666,20.0,6,overcount,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,175,10000,30,0.6931471805599453,1.791759469228055,3.0,1.0986122886681098,2.4849066497880004,5.0,1.791759469228055,1.2419530243370103,0.4804530139182014,3.210401995568401,0.0,1.0,0.0,1.791759469228055,T10000_N30
Qwen3-8B/direct/query_last/T10000_N3_seed1234,T10000_N3_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_last,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,176,10000,3,0.6931471805599453,-0.5108256237659907,0.3,-1.2039728043259361,0.18232155679395456,-0.4,0.0,-0.3540773408711719,0.4804530139182014,0.2609428178959135,0.0,1.0,-0.0,-0.5108256237659907,T10000_N3
Qwen3-8B/direct/query_last/T10000_N3_seed1235,T10000_N3_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_last,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,177,10000,3,0.6931471805599453,-0.5108256237659907,0.3,-1.2039728043259361,0.18232155679395456,-0.4,0.0,-0.3540773408711719,0.4804530139182014,0.2609428178959135,0.0,1.0,-0.0,-0.5108256237659907,T10000_N3
Qwen3-8B/direct/query_last/T10000_N3_seed1236,T10000_N3_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_last,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,178,10000,3,0.6931471805599453,-0.5108256237659907,0.3,-1.2039728043259361,0.18232155679395456,-0.4,0.0,-0.3540773408711719,0.4804530139182014,0.2609428178959135,0.0,1.0,-0.0,-0.5108256237659907,T10000_N3
Qwen3-8B/direct/query_last/T10000_N3_seed1237,T10000_N3_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_last,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,179,10000,3,0.6931471805599453,-0.5108256237659907,0.3,-1.2039728043259361,0.18232155679395456,-0.4,0.0,-0.3540773408711719,0.4804530139182014,0.2609428178959135,0.0,1.0,-0.0,-0.5108256237659907,T10000_N3
Qwen3-8B/direct/query_last/T10000_N3_seed1238,T10000_N3_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_last,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,180,10000,3,0.6931471805599453,-0.5108256237659907,0.3,-1.2039728043259361,0.18232155679395456,-0.4,0.0,-0.3540773408711719,0.4804530139182014,0.2609428178959135,0.0,1.0,-0.0,-0.5108256237659907,T10000_N3
Qwen3-8B/direct/query_last/T10000_N4_seed1234,T10000_N4_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,4,0.4,direct,0,query_last,1,1,0,0,ok,stop,4,4.0,0.0,0.0,0.0,5,correct,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,181,10000,4,0.6931471805599453,-0.2231435513142097,0.4,-0.916290731874155,0.4700036292457356,-0.2,0.0,-0.15467132345357792,0.4804530139182014,0.04979304449311734,0.0,1.0,-0.0,-0.2231435513142097,T10000_N4
Qwen3-8B/direct/query_last/T10000_N4_seed1235,T10000_N4_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,4,0.4,direct,0,query_last,0,1,0,0,ok,stop,4,5.0,1.0,0.25,1.0,5,overcount,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,182,10000,4,0.6931471805599453,-0.2231435513142097,0.4,-0.916290731874155,0.4700036292457356,-0.2,0.0,-0.15467132345357792,0.4804530139182014,0.04979304449311734,0.0,1.0,-0.0,-0.2231435513142097,T10000_N4
Qwen3-8B/direct/query_last/T10000_N4_seed1236,T10000_N4_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,4,0.4,direct,0,query_last,0,1,0,0,ok,stop,4,5.0,1.0,0.25,1.0,5,overcount,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,183,10000,4,0.6931471805599453,-0.2231435513142097,0.4,-0.916290731874155,0.4700036292457356,-0.2,0.0,-0.15467132345357792,0.4804530139182014,0.04979304449311734,0.0,1.0,-0.0,-0.2231435513142097,T10000_N4
Qwen3-8B/direct/query_last/T10000_N4_seed1237,T10000_N4_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,4,0.4,direct,0,query_last,1,1,0,0,ok,stop,4,4.0,0.0,0.0,0.0,5,correct,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,184,10000,4,0.6931471805599453,-0.2231435513142097,0.4,-0.916290731874155,0.4700036292457356,-0.2,0.0,-0.15467132345357792,0.4804530139182014,0.04979304449311734,0.0,1.0,-0.0,-0.2231435513142097,T10000_N4
Qwen3-8B/direct/query_last/T10000_N4_seed1238,T10000_N4_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,4,0.4,direct,0,query_last,1,1,0,0,ok,stop,4,4.0,0.0,0.0,0.0,5,correct,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,185,10000,4,0.6931471805599453,-0.2231435513142097,0.4,-0.916290731874155,0.4700036292457356,-0.2,0.0,-0.15467132345357792,0.4804530139182014,0.04979304449311734,0.0,1.0,-0.0,-0.2231435513142097,T10000_N4
Qwen3-8B/direct/query_last/T10000_N5_seed1234,T10000_N5_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,5,0.5,direct,0,query_last,1,1,0,0,ok,stop,5,5.0,0.0,0.0,0.0,5,correct,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,186,10000,5,0.6931471805599453,0.0,0.5,-0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.4804530139182014,0.0,0.0,1.0,0.0,0.0,T10000_N5
Qwen3-8B/direct/query_last/T10000_N5_seed1235,T10000_N5_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,5,0.5,direct,0,query_last,1,1,0,0,ok,stop,5,5.0,0.0,0.0,0.0,5,correct,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,187,10000,5,0.6931471805599453,0.0,0.5,-0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.4804530139182014,0.0,0.0,1.0,0.0,0.0,T10000_N5
Qwen3-8B/direct/query_last/T10000_N5_seed1236,T10000_N5_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,5,0.5,direct,0,query_last,0,1,0,0,ok,stop,5,6.0,1.0,0.2,1.0,5,overcount,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,188,10000,5,0.6931471805599453,0.0,0.5,-0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.4804530139182014,0.0,0.0,1.0,0.0,0.0,T10000_N5
Qwen3-8B/direct/query_last/T10000_N5_seed1237,T10000_N5_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,5,0.5,direct,0,query_last,0,1,0,0,ok,stop,5,6.0,1.0,0.2,1.0,5,overcount,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,189,10000,5,0.6931471805599453,0.0,0.5,-0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.4804530139182014,0.0,0.0,1.0,0.0,0.0,T10000_N5
Qwen3-8B/direct/query_last/T10000_N5_seed1238,T10000_N5_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,5,0.5,direct,0,query_last,0,1,0,0,ok,stop,5,4.0,1.0,0.2,-1.0,5,undercount,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,190,10000,5,0.6931471805599453,0.0,0.5,-0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.4804530139182014,0.0,0.0,1.0,0.0,0.0,T10000_N5
