target,model_label,prompt_mode,candidate,scheme,fold,n_test,log_loss,brier,mae,rmse
exact,Qwen3-1.7B,direct,log_burden,seed,seed=1237,30,0.4020638046157601,0.1302368074107212,,
exact,Qwen3-1.7B,direct,log_burden,seed,seed=1238,30,0.4134180791830965,0.13838940013716386,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=1,15,0.3090389365892779,0.08484084794779996,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=2,15,0.672118249954122,0.23761061701054692,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=3,15,0.49714240156913936,0.15995269434662038,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=4,15,0.6813545916994044,0.24074884622495438,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=5,15,0.724021791555392,0.2578125622317938,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=6,15,0.4605389506276592,0.1545850162102257,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=8,15,0.32180533925588933,0.09818459529639521,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=10,15,0.9058769345497029,0.24562801277576526,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=20,15,0.08412885565454174,0.010490288972194926,,
exact,Qwen3-1.7B,direct,log_burden,needle,N=30,15,0.04407459444770667,0.0031908741540504788,,
exact,Qwen3-1.7B,direct,log_burden,length,T=2000,50,0.5445286906806753,0.18770093399706556,,
exact,Qwen3-1.7B,direct,log_burden,length,T=5000,50,0.410439015005564,0.1313567315577769,,
exact,Qwen3-1.7B,direct,log_burden,length,T=10000,50,0.48945536071729584,0.1425774569466475,,
exact,Qwen3-1.7B,direct,log_separable,seed,seed=1234,30,0.37864989163220036,0.12245529491505835,,
exact,Qwen3-1.7B,direct,log_separable,seed,seed=1235,30,0.42548027592430404,0.12464612217036339,,
exact,Qwen3-1.7B,direct,log_separable,seed,seed=1236,30,0.523333538350762,0.16848068162806956,,
exact,Qwen3-1.7B,direct,log_separable,seed,seed=1237,30,0.4412948972439235,0.14638320613022168,,
exact,Qwen3-1.7B,direct,log_separable,seed,seed=1238,30,0.36114625947571477,0.11895651075759155,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=1,15,0.13015250024137157,0.017960405333626764,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=2,15,0.6593865533584482,0.2282681346471347,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=3,15,0.5575476477807867,0.18443194655128867,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=4,15,0.6416305516377376,0.2252885131570406,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=5,15,0.7254089759942758,0.2628311302840872,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=6,15,0.3599855804085916,0.10134405246545052,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=8,15,0.41332380062928553,0.13766289439976173,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=10,15,0.954258472464005,0.2465640698774249,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=20,15,0.028754349299482784,0.0010674885333244147,,
exact,Qwen3-1.7B,direct,log_separable,needle,N=30,15,0.011356697285714501,0.00017203085768002362,,
exact,Qwen3-1.7B,direct,log_separable,length,T=2000,50,0.44086758960281697,0.1471786050506017,,
exact,Qwen3-1.7B,direct,log_separable,length,T=5000,50,0.3928813819493176,0.12829861418497346,,
exact,Qwen3-1.7B,direct,log_separable,length,T=10000,50,0.3948975860843939,0.11506719573288862,,
exact,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1234,30,0.4264813067176638,0.1390223129462673,,
exact,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1235,30,0.4580788830686193,0.1390669164129631,,
exact,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1236,30,0.5409778093154975,0.1755767978536319,,
exact,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1237,30,0.4667495035736705,0.15250163211252563,,
exact,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1238,30,0.38577828732974173,0.1279782977776674,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=1,15,0.48023339500331735,0.15219072614279033,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=2,15,0.624067711509494,0.2171550058400573,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=3,15,0.5645296317376967,0.18856121264445846,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=4,15,0.7252130336422159,0.26378953563235946,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=5,15,0.6593535129148153,0.234445932985604,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=6,15,0.50172689394392,0.16223689405469513,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=8,15,0.4164455495693831,0.13697576935780226,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=10,15,1.249788021656146,0.25988986195322056,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=20,15,0.001363551315311195,2.404702814548628e-06,,
exact,Qwen3-1.7B,direct,semi_log_needles,needle,N=30,15,1.9253200469966003e-05,4.808530381318925e-10,,
exact,Qwen3-1.7B,direct,semi_log_needles,length,T=2000,50,0.458086133211011,0.1526267330235651,,
exact,Qwen3-1.7B,direct,semi_log_needles,length,T=5000,50,0.4197518587062676,0.13680058702072245,,
exact,Qwen3-1.7B,direct,semi_log_needles,length,T=10000,50,0.4485913284530105,0.1329826240910128,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1234,30,0.37369493017178174,0.1207746733764217,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1235,30,0.4210544475101879,0.12293510003298556,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1236,30,0.5260820311667336,0.169004029608955,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1237,30,0.43977303226223424,0.14660546397633595,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1238,30,0.37074739954282543,0.12192647359830207,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=1,15,0.12913101945865046,0.01770840439452621,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=2,15,0.7146909037800123,0.24380047784554046,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=3,15,0.5572651557585581,0.18421470409514215,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=4,15,0.629952088933704,0.21990742152876083,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=5,15,0.8630103125511785,0.31022825458302905,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=6,15,0.3517858056397134,0.0979325362648866,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=8,15,0.40856442080829264,0.13557600562810956,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=10,15,0.9712231711977508,0.2476830972520329,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=20,15,0.06222431519337579,0.00475154163465064,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=30,15,0.03137256328968332,0.0012751991107260853,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,length,T=2000,50,0.4424665989584999,0.14680278637994484,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,length,T=5000,50,0.3976727612650281,0.13023721308329134,,
exact,Qwen3-1.7B,direct,piecewise_log_needles,length,T=10000,50,0.39356326970291955,0.11484269413276062,,
exact,Qwen3-1.7B,direct,log_interaction,seed,seed=1234,30,0.3897476884110616,0.12411442349186809,,
exact,Qwen3-1.7B,direct,log_interaction,seed,seed=1235,30,0.42485087210041317,0.12465910331188511,,
exact,Qwen3-1.7B,direct,log_interaction,seed,seed=1236,30,0.5235213904028738,0.16843844313225775,,
exact,Qwen3-1.7B,direct,log_interaction,seed,seed=1237,30,0.44096558112924567,0.14623070471718821,,
exact,Qwen3-1.7B,direct,log_interaction,seed,seed=1238,30,0.3617123822290208,0.11928363227225985,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=1,15,0.17033862129757232,0.034629386946361536,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=2,15,0.6719835789028713,0.23016909816832207,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=3,15,0.5632334200964625,0.1869957548314192,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=4,15,0.6507224168376883,0.2294735170219016,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=5,15,0.7238865939626247,0.2623469729553908,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=6,15,0.3620287358652719,0.10126797323487009,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=8,15,0.4801740740465948,0.15576214072872052,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=10,15,1.0296648410857814,0.24732794079004208,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=20,15,0.027397249661471935,0.0009007612570429865,,
exact,Qwen3-1.7B,direct,log_interaction,needle,N=30,15,0.010517198272091605,0.00013067779848433835,,
exact,Qwen3-1.7B,direct,log_interaction,length,T=2000,50,0.45247024042072403,0.15010769618782294,,
exact,Qwen3-1.7B,direct,log_interaction,length,T=5000,50,0.3937554371509713,0.12858089145028612,,
exact,Qwen3-1.7B,direct,log_interaction,length,T=10000,50,0.394842283638492,0.11508840544704026,,
bias,Qwen3-1.7B,direct,intercept_only,seed,seed=1234,30,,,1.6439146676880816,2.181586618616117
bias,Qwen3-1.7B,direct,intercept_only,seed,seed=1235,30,,,1.6679847844599496,2.0255175972857344
bias,Qwen3-1.7B,direct,intercept_only,seed,seed=1236,30,,,1.319117543649749,1.7154072669645484
bias,Qwen3-1.7B,direct,intercept_only,seed,seed=1237,30,,,1.4209014473103567,1.9112994409975592
bias,Qwen3-1.7B,direct,intercept_only,seed,seed=1238,30,,,1.4612007982797597,1.9026783239005842
bias,Qwen3-1.7B,direct,intercept_only,needle,N=1,15,,,0.31002857504809256,0.31002857504809256
bias,Qwen3-1.7B,direct,intercept_only,needle,N=2,15,,,0.38625289862732276,0.415807278669574
bias,Qwen3-1.7B,direct,intercept_only,needle,N=3,15,,,0.6380995252590639,0.8590512855597364
bias,Qwen3-1.7B,direct,intercept_only,needle,N=4,15,,,0.9227137003089447,1.1717974407708118
bias,Qwen3-1.7B,direct,intercept_only,needle,N=5,15,,,1.0342665204062285,1.3347526815841235
bias,Qwen3-1.7B,direct,intercept_only,needle,N=6,15,,,1.465978909751205,1.5997616992193746
bias,Qwen3-1.7B,direct,intercept_only,needle,N=8,15,,,1.670806413655268,1.8736815774253637
bias,Qwen3-1.7B,direct,intercept_only,needle,N=10,15,,,1.6227433510823384,1.872874072930114
bias,Qwen3-1.7B,direct,intercept_only,needle,N=20,15,,,2.7743492450434086,2.8422190117842026
bias,Qwen3-1.7B,direct,intercept_only,needle,N=30,15,,,3.5348409550426414,3.622260330481965
bias,Qwen3-1.7B,direct,intercept_only,length,T=2000,50,,,1.5506064923472593,1.9484830695004316
bias,Qwen3-1.7B,direct,intercept_only,length,T=5000,50,,,1.3243949490952907,1.6459685758856062
bias,Qwen3-1.7B,direct,intercept_only,length,T=10000,50,,,2.072390857963951,2.5945744976152185
bias,Qwen3-1.7B,direct,log_density,seed,seed=1234,30,,,1.7413879127157774,2.207210676056044
bias,Qwen3-1.7B,direct,log_density,seed,seed=1235,30,,,1.6519845066273555,1.8647893770709871
bias,Qwen3-1.7B,direct,log_density,seed,seed=1236,30,,,1.3427853246190602,1.6491932855908031
bias,Qwen3-1.7B,direct,log_density,seed,seed=1237,30,,,1.3795788341529551,1.8909640310406497
bias,Qwen3-1.7B,direct,log_density,seed,seed=1238,30,,,1.373084939342347,1.7692166505050635
bias,Qwen3-1.7B,direct,log_density,needle,N=1,15,,,1.6461945318773188,1.7083576310300992
bias,Qwen3-1.7B,direct,log_density,needle,N=2,15,,,0.6457213353833373,0.7640679424980272
bias,Qwen3-1.7B,direct,log_density,needle,N=3,15,,,0.6587347064321293,0.8703830736842293
bias,Qwen3-1.7B,direct,log_density,needle,N=4,15,,,0.8321904068509297,1.051812524991154
bias,Qwen3-1.7B,direct,log_density,needle,N=5,15,,,0.9428573755541756,1.1992389598703457
bias,Qwen3-1.7B,direct,log_density,needle,N=6,15,,,1.3778069106755726,1.491357828579841
bias,Qwen3-1.7B,direct,log_density,needle,N=8,15,,,1.567179845680139,1.7454657856217355
bias,Qwen3-1.7B,direct,log_density,needle,N=10,15,,,1.4402720498519395,1.692280188426787
bias,Qwen3-1.7B,direct,log_density,needle,N=20,15,,,2.5721879323666856,2.653107560147526
bias,Qwen3-1.7B,direct,log_density,needle,N=30,15,,,3.201828840387203,3.4629482877614493
bias,Qwen3-1.7B,direct,log_density,length,T=2000,50,,,1.6114253586310836,2.0344093289680485
bias,Qwen3-1.7B,direct,log_density,length,T=5000,50,,,1.4351808623531914,1.6807627911112666
bias,Qwen3-1.7B,direct,log_density,length,T=10000,50,,,2.0018032740234206,2.473043885322285
bias,Qwen3-1.7B,direct,log_burden,seed,seed=1234,30,,,1.6557559284663956,2.073478005247294
bias,Qwen3-1.7B,direct,log_burden,seed,seed=1235,30,,,1.808842623655463,2.3591626692452596
bias,Qwen3-1.7B,direct,log_burden,seed,seed=1236,30,,,1.2962545641614374,1.7305376668089627
bias,Qwen3-1.7B,direct,log_burden,seed,seed=1237,30,,,1.3460874207289808,1.795232600834828
bias,Qwen3-1.7B,direct,log_burden,seed,seed=1238,30,,,1.4214416098294493,1.8295006408018022
bias,Qwen3-1.7B,direct,log_burden,needle,N=1,15,,,0.5071397512500117,0.5789526840822223
bias,Qwen3-1.7B,direct,log_burden,needle,N=2,15,,,0.5188894364806379,0.6482991316272166
bias,Qwen3-1.7B,direct,log_burden,needle,N=3,15,,,0.588122427768263,0.8387245097052913
bias,Qwen3-1.7B,direct,log_burden,needle,N=4,15,,,0.9631009695632211,1.1928451600075667
bias,Qwen3-1.7B,direct,log_burden,needle,N=5,15,,,0.9333271745548427,1.2430769613657657
bias,Qwen3-1.7B,direct,log_burden,needle,N=6,15,,,1.4049736159601776,1.5098657158806221
bias,Qwen3-1.7B,direct,log_burden,needle,N=8,15,,,1.5094576762247278,1.723221426797111
bias,Qwen3-1.7B,direct,log_burden,needle,N=10,15,,,1.5865277477477828,1.7683880129596705
bias,Qwen3-1.7B,direct,log_burden,needle,N=20,15,,,2.80241889834162,2.9627139067715755
bias,Qwen3-1.7B,direct,log_burden,needle,N=30,15,,,3.5150378588301976,3.5619791493026116
bias,Qwen3-1.7B,direct,log_burden,length,T=2000,50,,,1.3231470506536973,1.850347095337794
bias,Qwen3-1.7B,direct,log_burden,length,T=5000,50,,,1.3696676518463564,1.784683752112517
bias,Qwen3-1.7B,direct,log_burden,length,T=10000,50,,,2.2713354821608225,2.909250514777412
bias,Qwen3-1.7B,direct,log_separable,seed,seed=1234,30,,,1.6425667035031029,1.9579163391052345
bias,Qwen3-1.7B,direct,log_separable,seed,seed=1235,30,,,1.8748289997644525,2.2528681142926663
bias,Qwen3-1.7B,direct,log_separable,seed,seed=1236,30,,,1.3674264578059219,1.6409810529006152
bias,Qwen3-1.7B,direct,log_separable,seed,seed=1237,30,,,1.2390886588153758,1.6325313057514748
bias,Qwen3-1.7B,direct,log_separable,seed,seed=1238,30,,,1.2849760975295597,1.5563894797298667
bias,Qwen3-1.7B,direct,log_separable,needle,N=1,15,,,1.0473799381801983,1.1953280158979245
bias,Qwen3-1.7B,direct,log_separable,needle,N=2,15,,,0.8515620716728859,0.9555856619625394
bias,Qwen3-1.7B,direct,log_separable,needle,N=3,15,,,0.843997094780968,0.9948184843253423
bias,Qwen3-1.7B,direct,log_separable,needle,N=4,15,,,1.0486161050167877,1.2368106710042976
bias,Qwen3-1.7B,direct,log_separable,needle,N=5,15,,,0.9566987528446982,1.1450712186393268
bias,Qwen3-1.7B,direct,log_separable,needle,N=6,15,,,1.2117549587732541,1.421358229994808
bias,Qwen3-1.7B,direct,log_separable,needle,N=8,15,,,1.3491759022286574,1.4608827061292096
bias,Qwen3-1.7B,direct,log_separable,needle,N=10,15,,,1.3130026923912737,1.4461833053923991
bias,Qwen3-1.7B,direct,log_separable,needle,N=20,15,,,2.5120733887148523,2.6396384718948114
bias,Qwen3-1.7B,direct,log_separable,needle,N=30,15,,,3.0865412841237325,3.1770516307589514
bias,Qwen3-1.7B,direct,log_separable,length,T=2000,50,,,1.6141299670661673,1.7835206466843907
bias,Qwen3-1.7B,direct,log_separable,length,T=5000,50,,,1.3698115010995062,1.6720803082392184
bias,Qwen3-1.7B,direct,log_separable,length,T=10000,50,,,1.9462072328991769,2.3284033107095903
bias,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1234,30,,,1.5958149174734868,1.9442382369213538
bias,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1235,30,,,1.8497701176051575,2.2138618742952474
bias,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1236,30,,,1.3584142135335981,1.6356124480421197
bias,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1237,30,,,1.246704652137063,1.6725477405026936
bias,Qwen3-1.7B,direct,semi_log_needles,seed,seed=1238,30,,,1.2697084696006757,1.5439766426868002
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=1,15,,,0.9737098521202101,1.0734898174409924
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=2,15,,,0.8539488467169282,0.9598021864974386
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=3,15,,,0.8421645886874883,1.0009999162186805
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=4,15,,,1.0273620870518907,1.215924675093635
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=5,15,,,0.960963661653762,1.1373402878899774
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=6,15,,,1.2158204923831322,1.4114386045715288
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=8,15,,,1.3223728161649684,1.4412041290911712
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=10,15,,,1.3186218257553244,1.448531518721482
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=20,15,,,2.48581790762618,2.604982034381746
bias,Qwen3-1.7B,direct,semi_log_needles,needle,N=30,15,,,2.9570688968979453,3.219874900480462
bias,Qwen3-1.7B,direct,semi_log_needles,length,T=2000,50,,,1.58747573391196,1.7531465773903754
bias,Qwen3-1.7B,direct,semi_log_needles,length,T=5000,50,,,1.3742650171175088,1.6621593155700372
bias,Qwen3-1.7B,direct,semi_log_needles,length,T=10000,50,,,1.8895626847543263,2.3527236384578907
bias,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1234,30,,,1.5606157532040965,1.9268239055866767
bias,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1235,30,,,1.8897451028666974,2.232620186573705
bias,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1236,30,,,1.3312152746282884,1.626458719474119
bias,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1237,30,,,1.2438081996456052,1.6830194145206359
bias,Qwen3-1.7B,direct,piecewise_log_needles,seed,seed=1238,30,,,1.243860220750358,1.524013375839149
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=1,15,,,0.8080279647089564,0.9421289128312523
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=2,15,,,0.8423765966757378,0.9518294120552729
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=3,15,,,0.8442700373741012,1.005650457702183
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=4,15,,,0.9757681553052804,1.1712939329509462
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=5,15,,,0.9824423953966597,1.152862032652974
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=6,15,,,1.230001059806033,1.3972693927435536
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=8,15,,,1.2816309009999836,1.4152376051591933
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=10,15,,,1.3277129421058116,1.4534731871020983
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=20,15,,,2.47066031719848,2.5877968245090033
bias,Qwen3-1.7B,direct,piecewise_log_needles,needle,N=30,15,,,2.937336498880437,3.237738150592834
bias,Qwen3-1.7B,direct,piecewise_log_needles,length,T=2000,50,,,1.5666712078125697,1.7549580096359372
bias,Qwen3-1.7B,direct,piecewise_log_needles,length,T=5000,50,,,1.3372134745301023,1.6591528930399964
bias,Qwen3-1.7B,direct,piecewise_log_needles,length,T=10000,50,,,1.867149675920973,2.3374460317964005
bias,Qwen3-1.7B,direct,log_interaction,seed,seed=1234,30,,,1.492078334583302,1.7837571707244297
bias,Qwen3-1.7B,direct,log_interaction,seed,seed=1235,30,,,1.679705037294921,2.2882539432900435
bias,Qwen3-1.7B,direct,log_interaction,seed,seed=1236,30,,,1.1558226974314096,1.5730545609740638
bias,Qwen3-1.7B,direct,log_interaction,seed,seed=1237,30,,,1.0615720670219102,1.4827630446865792
bias,Qwen3-1.7B,direct,log_interaction,seed,seed=1238,30,,,0.9858804023340152,1.2536245915435364
bias,Qwen3-1.7B,direct,log_interaction,needle,N=1,15,,,0.7358803486067664,0.941257332067858
bias,Qwen3-1.7B,direct,log_interaction,needle,N=2,15,,,0.39785075515549234,0.42611894674839046
bias,Qwen3-1.7B,direct,log_interaction,needle,N=3,15,,,0.5971060318013542,0.8089114204290759
bias,Qwen3-1.7B,direct,log_interaction,needle,N=4,15,,,0.965043549055364,1.144078504619851
bias,Qwen3-1.7B,direct,log_interaction,needle,N=5,15,,,0.9538085171780473,1.1354576378458945
bias,Qwen3-1.7B,direct,log_interaction,needle,N=6,15,,,1.208130762260436,1.425419803165575
bias,Qwen3-1.7B,direct,log_interaction,needle,N=8,15,,,1.2689698340931885,1.3961546008746024
bias,Qwen3-1.7B,direct,log_interaction,needle,N=10,15,,,1.1731767687627537,1.3661503456315056
bias,Qwen3-1.7B,direct,log_interaction,needle,N=20,15,,,2.186429283552368,2.7502763154236587
bias,Qwen3-1.7B,direct,log_interaction,needle,N=30,15,,,2.481854275409242,2.70243430062626
bias,Qwen3-1.7B,direct,log_interaction,length,T=2000,50,,,1.1493576605046558,1.5033681737232616
bias,Qwen3-1.7B,direct,log_interaction,length,T=5000,50,,,1.3518020156454957,1.6871200620780278
bias,Qwen3-1.7B,direct,log_interaction,length,T=10000,50,,,1.6114100508120839,1.9792911943872793
absolute_error,Qwen3-1.7B,direct,intercept_only,seed,seed=1234,30,,,1.042046041300384,1.2232249756721338
absolute_error,Qwen3-1.7B,direct,intercept_only,seed,seed=1235,30,,,0.7910988912001968,0.9130464769336425
absolute_error,Qwen3-1.7B,direct,intercept_only,seed,seed=1236,30,,,0.8594396730884317,1.0298771774294222
absolute_error,Qwen3-1.7B,direct,intercept_only,seed,seed=1237,30,,,0.944697359063676,1.1314594581498498
absolute_error,Qwen3-1.7B,direct,intercept_only,seed,seed=1238,30,,,0.8824584413918984,1.0788030157294364
absolute_error,Qwen3-1.7B,direct,intercept_only,needle,N=1,15,,,1.1943895792220096,1.1943895792220096
absolute_error,Qwen3-1.7B,direct,intercept_only,needle,N=2,15,,,0.9376684012370348,0.9929699729119124
absolute_error,Qwen3-1.7B,direct,intercept_only,needle,N=3,15,,,0.8774853481509985,0.9525714030344796
absolute_error,Qwen3-1.7B,direct,intercept_only,needle,N=4,15,,,0.6855465793053591,0.7490226230469524
absolute_error,Qwen3-1.7B,direct,intercept_only,needle,N=5,15,,,0.8664594504533064,0.9190250367462954
absolute_error,Qwen3-1.7B,direct,intercept_only,needle,N=6,15,,,0.5188737292262748,0.6550662101673582
