flag_type,model_label,prompt_mode,query_order,effect_or_rate,absolute_threshold,paired_units,exact_p_value,evidence
mode_shift_vs_direct,Qwen3-32B,native_thinking,paired,0.42,0.2,300,,native_thinking − direct = +42.0 pp
mode_shift_vs_direct,Qwen3-8B,enumeration,paired,0.21,0.2,300,,enumeration − direct = +21.0 pp
mode_shift_vs_direct,Qwen3-8B,native_thinking,paired,0.55,0.2,300,,native_thinking − direct = +55.0 pp
query_order_shift,Gemma4-12B,enumeration,paired,-0.2,0.1,150,1.862645149230957e-09,query_last − query_first = -20.0 pp; discordant first-only/last-only = 30/0
query_order_shift,Gemma4-12B,native_thinking,paired,-0.2866666666666667,0.1,150,6.981082378842984e-11,query_last − query_first = -28.7 pp; discordant first-only/last-only = 46/3
query_order_shift,Gemma4-E4B,direct,paired,0.10666666666666667,0.1,150,0.019520472782460274,query_last − query_first = +10.7 pp; discordant first-only/last-only = 13/29
query_order_shift,Gemma4-E4B,enumeration,paired,-0.2,0.1,150,2.8288777684792876e-06,query_last − query_first = -20.0 pp; discordant first-only/last-only = 36/6
query_order_shift,Gemma4-E4B,native_thinking,paired,-0.20666666666666667,0.1,150,3.6729034036397934e-08,query_last − query_first = -20.7 pp; discordant first-only/last-only = 33/2
query_order_shift,Llama3.1-8B,direct,paired,0.25333333333333335,0.1,150,3.243740565039843e-08,query_last − query_first = +25.3 pp; discordant first-only/last-only = 6/44
query_order_shift,Llama3.1-8B,enumeration,paired,0.10666666666666667,0.1,150,0.04794032407166697,query_last − query_first = +10.7 pp; discordant first-only/last-only = 21/37
query_order_shift,Llama3.2-3B,direct,paired,0.29333333333333333,0.1,150,8.363087999896379e-12,query_last − query_first = +29.3 pp; discordant first-only/last-only = 2/46
query_order_shift,OLMo-Hybrid-7B,direct,paired,-0.10666666666666667,0.1,150,0.051893895928921435,query_last − query_first = -10.7 pp; discordant first-only/last-only = 38/22
query_order_shift,Qwen3-1.7B,direct,paired,0.19333333333333333,0.1,150,2.4904030624384177e-05,query_last − query_first = +19.3 pp; discordant first-only/last-only = 9/38
query_order_shift,Qwen3-1.7B,enumeration,paired,0.18666666666666668,0.1,150,5.774199962615967e-08,query_last − query_first = +18.7 pp; discordant first-only/last-only = 1/29
query_order_shift,Qwen3-1.7B,native_thinking,paired,-0.12666666666666668,0.1,150,0.0013187271542847157,query_last − query_first = -12.7 pp; discordant first-only/last-only = 26/7
query_order_shift,Qwen3-32B,direct,paired,-0.16,0.1,150,3.032386302947998e-06,query_last − query_first = -16.0 pp; discordant first-only/last-only = 26/2
query_order_shift,Qwen3-32B,enumeration,paired,0.48,0.1,150,7.940933880509066e-21,query_last − query_first = +48.0 pp; discordant first-only/last-only = 1/73
query_order_shift,Qwen3-8B,enumeration,paired,0.6333333333333333,0.1,150,1.2369338993865465e-27,query_last − query_first = +63.3 pp; discordant first-only/last-only = 1/96
