request_id,stimulus_id,seed,model_label,model_id,target_passage_tokens,model_passage_tokens,model_input_tokens,num_needles,density_per_1k,prompt_mode,thinking_enabled,query_order,exact_correct,parse_success,format_failure,truncated,parse_status,finish_reason,gold_count,predicted_count,absolute_error,normalized_absolute_error,signed_error,output_tokens,error_category,missing_pairs_n,hallucinated_pairs_n,duplicate_listed_pairs_n,listed_records_n,listed_total_matches_length,pair_precision,pair_recall,pair_f1,source_file,source_line
Qwen3-8B/direct/query_first/T10000_N20_seed1234,T10000_N20_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_first,0,0,1,1,parse_fail,length,20,,,,,64,truncation,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,11
Qwen3-8B/direct/query_first/T10000_N20_seed1235,T10000_N20_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_first,0,1,0,0,ok,stop,20,12.0,8.0,0.4,-8.0,57,undercount,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,12
Qwen3-8B/direct/query_first/T10000_N20_seed1236,T10000_N20_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_first,0,1,0,0,ok,stop,20,12.0,8.0,0.4,-8.0,6,undercount,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,13
Qwen3-8B/direct/query_first/T10000_N20_seed1237,T10000_N20_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_first,0,1,0,0,ok,stop,20,14.0,6.0,0.3,-6.0,6,undercount,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,14
Qwen3-8B/direct/query_first/T10000_N20_seed1238,T10000_N20_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,20,2.0,direct,0,query_first,0,1,0,0,ok,stop,20,14.0,6.0,0.3,-6.0,6,undercount,20,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,15
Qwen3-8B/direct/query_first/T10000_N2_seed1234,T10000_N2_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,2,0.2,direct,0,query_first,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,16
Qwen3-8B/direct/query_first/T10000_N2_seed1235,T10000_N2_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,2,0.2,direct,0,query_first,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,17
Qwen3-8B/direct/query_first/T10000_N2_seed1236,T10000_N2_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,2,0.2,direct,0,query_first,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,18
Qwen3-8B/direct/query_first/T10000_N2_seed1237,T10000_N2_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,2,0.2,direct,0,query_first,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,19
Qwen3-8B/direct/query_first/T10000_N2_seed1238,T10000_N2_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,2,0.2,direct,0,query_first,1,1,0,0,ok,stop,2,2.0,0.0,0.0,0.0,5,correct,2,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,20
Qwen3-8B/direct/query_first/T10000_N30_seed1234,T10000_N30_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,30,3.0,direct,0,query_first,0,0,1,1,parse_fail,length,30,,,,,64,truncation,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,21
Qwen3-8B/direct/query_first/T10000_N30_seed1235,T10000_N30_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,30,3.0,direct,0,query_first,0,0,1,1,parse_fail,length,30,,,,,64,truncation,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,22
Qwen3-8B/direct/query_first/T10000_N30_seed1236,T10000_N30_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,30,3.0,direct,0,query_first,0,0,1,1,parse_fail,length,30,,,,,64,truncation,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,23
Qwen3-8B/direct/query_first/T10000_N30_seed1237,T10000_N30_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,30,3.0,direct,0,query_first,0,1,0,0,ok,stop,30,16.0,14.0,0.4666666666666667,-14.0,6,undercount,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,24
Qwen3-8B/direct/query_first/T10000_N30_seed1238,T10000_N30_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,30,3.0,direct,0,query_first,0,1,0,0,ok,stop,30,20.0,10.0,0.3333333333333333,-10.0,6,undercount,30,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,25
Qwen3-8B/direct/query_first/T10000_N3_seed1234,T10000_N3_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_first,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,26
Qwen3-8B/direct/query_first/T10000_N3_seed1235,T10000_N3_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_first,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,27
Qwen3-8B/direct/query_first/T10000_N3_seed1236,T10000_N3_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_first,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,28
Qwen3-8B/direct/query_first/T10000_N3_seed1237,T10000_N3_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_first,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,29
Qwen3-8B/direct/query_first/T10000_N3_seed1238,T10000_N3_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,3,0.3,direct,0,query_first,1,1,0,0,ok,stop,3,3.0,0.0,0.0,0.0,5,correct,3,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,30
Qwen3-8B/direct/query_first/T10000_N4_seed1234,T10000_N4_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,4,0.4,direct,0,query_first,0,1,0,0,ok,stop,4,3.0,1.0,0.25,-1.0,5,undercount,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,31
Qwen3-8B/direct/query_first/T10000_N4_seed1235,T10000_N4_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,4,0.4,direct,0,query_first,0,1,0,0,ok,stop,4,3.0,1.0,0.25,-1.0,5,undercount,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,32
Qwen3-8B/direct/query_first/T10000_N4_seed1236,T10000_N4_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,4,0.4,direct,0,query_first,0,1,0,0,ok,stop,4,3.0,1.0,0.25,-1.0,5,undercount,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,33
Qwen3-8B/direct/query_first/T10000_N4_seed1237,T10000_N4_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,4,0.4,direct,0,query_first,0,1,0,0,ok,stop,4,3.0,1.0,0.25,-1.0,5,undercount,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,34
Qwen3-8B/direct/query_first/T10000_N4_seed1238,T10000_N4_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,4,0.4,direct,0,query_first,0,1,0,0,ok,stop,4,3.0,1.0,0.25,-1.0,5,undercount,4,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,35
Qwen3-8B/direct/query_first/T10000_N5_seed1234,T10000_N5_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,5,0.5,direct,0,query_first,0,1,0,0,ok,stop,5,4.0,1.0,0.2,-1.0,5,undercount,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,36
Qwen3-8B/direct/query_first/T10000_N5_seed1235,T10000_N5_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,5,0.5,direct,0,query_first,0,1,0,0,ok,stop,5,4.0,1.0,0.2,-1.0,5,undercount,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,37
Qwen3-8B/direct/query_first/T10000_N5_seed1236,T10000_N5_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,5,0.5,direct,0,query_first,0,1,0,0,ok,stop,5,4.0,1.0,0.2,-1.0,5,undercount,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,38
Qwen3-8B/direct/query_first/T10000_N5_seed1237,T10000_N5_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,5,0.5,direct,0,query_first,0,1,0,0,ok,stop,5,4.0,1.0,0.2,-1.0,5,undercount,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,39
Qwen3-8B/direct/query_first/T10000_N5_seed1238,T10000_N5_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,5,0.5,direct,0,query_first,0,1,0,0,ok,stop,5,4.0,1.0,0.2,-1.0,5,undercount,5,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,40
Qwen3-8B/direct/query_first/T10000_N6_seed1234,T10000_N6_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,6,0.6,direct,0,query_first,0,1,0,0,ok,stop,6,5.0,1.0,0.16666666666666666,-1.0,5,undercount,6,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,41
Qwen3-8B/direct/query_first/T10000_N6_seed1235,T10000_N6_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,6,0.6,direct,0,query_first,0,1,0,0,ok,stop,6,4.0,2.0,0.3333333333333333,-2.0,5,undercount,6,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,42
Qwen3-8B/direct/query_first/T10000_N6_seed1236,T10000_N6_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10077,6,0.6,direct,0,query_first,0,1,0,0,ok,stop,6,4.0,2.0,0.3333333333333333,-2.0,5,undercount,6,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,43
Qwen3-8B/direct/query_first/T10000_N6_seed1237,T10000_N6_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,6,0.6,direct,0,query_first,0,1,0,0,ok,stop,6,5.0,1.0,0.16666666666666666,-1.0,5,undercount,6,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,44
Qwen3-8B/direct/query_first/T10000_N6_seed1238,T10000_N6_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,6,0.6,direct,0,query_first,0,1,0,0,ok,stop,6,5.0,1.0,0.16666666666666666,-1.0,5,undercount,6,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,45
Qwen3-8B/direct/query_first/T10000_N8_seed1234,T10000_N8_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,8,0.8,direct,0,query_first,0,1,0,0,ok,stop,8,6.0,2.0,0.25,-2.0,5,undercount,8,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,46
Qwen3-8B/direct/query_first/T10000_N8_seed1235,T10000_N8_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,8,0.8,direct,0,query_first,0,1,0,0,ok,stop,8,6.0,2.0,0.25,-2.0,5,undercount,8,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,47
Qwen3-8B/direct/query_first/T10000_N8_seed1236,T10000_N8_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,8,0.8,direct,0,query_first,0,1,0,0,ok,stop,8,6.0,2.0,0.25,-2.0,5,undercount,8,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,48
Qwen3-8B/direct/query_first/T10000_N8_seed1237,T10000_N8_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,8,0.8,direct,0,query_first,0,1,0,0,ok,stop,8,6.0,2.0,0.25,-2.0,5,undercount,8,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,49
Qwen3-8B/direct/query_first/T10000_N8_seed1238,T10000_N8_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,10000,10000,10078,8,0.8,direct,0,query_first,0,1,0,0,ok,stop,8,6.0,2.0,0.25,-2.0,5,undercount,8,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,50
Qwen3-8B/direct/query_first/T2000_N10_seed1234,T2000_N10_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,10,5.0,direct,0,query_first,0,1,0,0,ok,stop,10,9.0,1.0,0.1,-1.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,51
Qwen3-8B/direct/query_first/T2000_N10_seed1235,T2000_N10_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,10,5.0,direct,0,query_first,0,1,0,0,ok,stop,10,8.0,2.0,0.2,-2.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,52
Qwen3-8B/direct/query_first/T2000_N10_seed1236,T2000_N10_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,10,5.0,direct,0,query_first,0,1,0,0,ok,stop,10,9.0,1.0,0.1,-1.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,53
Qwen3-8B/direct/query_first/T2000_N10_seed1237,T2000_N10_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,10,5.0,direct,0,query_first,0,1,0,0,ok,stop,10,8.0,2.0,0.2,-2.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,54
Qwen3-8B/direct/query_first/T2000_N10_seed1238,T2000_N10_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,10,5.0,direct,0,query_first,0,1,0,0,ok,stop,10,8.0,2.0,0.2,-2.0,5,undercount,10,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,55
Qwen3-8B/direct/query_first/T2000_N1_seed1234,T2000_N1_seed1234,1234,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,1,0.5,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,56
Qwen3-8B/direct/query_first/T2000_N1_seed1235,T2000_N1_seed1235,1235,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,1,0.5,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,57
Qwen3-8B/direct/query_first/T2000_N1_seed1236,T2000_N1_seed1236,1236,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,1,0.5,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,58
Qwen3-8B/direct/query_first/T2000_N1_seed1237,T2000_N1_seed1237,1237,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,1,0.5,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,59
Qwen3-8B/direct/query_first/T2000_N1_seed1238,T2000_N1_seed1238,1238,Qwen3-8B,Qwen/Qwen3-8B,2000,2000,2078,1,0.5,direct,0,query_first,1,1,0,0,ok,stop,1,1.0,0.0,0.0,0.0,5,correct,1,0,0,0,,,0.0,,C:\Users\HP\AppData\Local\Temp\rniah_report_20260724\runs\realistic_niah_v1\six_models_formal_20260723T194300Z\Qwen3-8B\main\requests.jsonl,60
