kind,model_label,request_id,sequence_source,trace_category,causal_cohort,grammar_signature,reason
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1238,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N7_seed1239,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1241,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_after_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1241,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N7_seed1241,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1242,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1242,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1242,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city + same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1243,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1243,structural_extension,partial_unique,secondary_structural_recap,structural_explicit_rank_before_city,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1243,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1244,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1244,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1246,synthetic_evidence_fallback,synthetic_unverified,secondary_evidence_sequence_exploratory,evidence_sequence_unranked,not_primary:secondary_evidence_sequence_exploratory
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1246,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1246,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1246,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N7_seed1246,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1246,synthetic_evidence_fallback,synthetic_unverified,secondary_evidence_sequence_exploratory,evidence_sequence_unranked,not_primary:secondary_evidence_sequence_exploratory
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1247,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_after_city + same_unit_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1247,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1247,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1247,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1248,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_after_city + same_unit_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1249,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1249,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1249,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1250,structural_extension,one_to_one,secondary_structural_recap,structural_invariant_bullet,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1251,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_after_city + same_unit_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1251,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1252,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1252,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1252,structural_extension,one_to_one,secondary_structural_recap,structural_invariant_bullet,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1253,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1253,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1255,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1256,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1256,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1256,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N5_seed1257,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1258,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_after_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1259,structural_extension,one_to_one,secondary_structural_recap,structural_invariant_bullet,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1260,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N6_seed1261,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_unmarked,not_primary:secondary_structural_marker_neutral
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N8_seed1261,synthetic_evidence_fallback,synthetic_unverified,secondary_evidence_sequence_exploratory,evidence_sequence_unranked,not_primary:secondary_evidence_sequence_exploratory
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N9_seed1261,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N10_seed1261,structural_extension,one_to_one,secondary_structural_recap,structural_unmarked,not_primary:secondary_structural_recap
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1262,structural_fallback,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,structural_unmarked,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1262,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,adjacent_rank_before_city,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N1_seed1263,structural_fallback,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,structural_unmarked,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1234,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_invariant_bullet,not_primary:secondary_structural_marker_neutral
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1235,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1236,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1237,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1237,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1237,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1237,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1238,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_invariant_bullet,not_primary:secondary_structural_marker_neutral
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1239,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1239,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1239,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1239,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1240,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1240,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1240,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1241,structural_fallback,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,structural_invariant_bullet,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1241,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1241,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1241,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1241,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1242,structural_fallback,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,structural_invariant_bullet,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1243,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1243,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1243,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1243,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1243,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1245,structural_fallback,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,structural_invariant_bullet,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1245,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1246,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_invariant_bullet,not_primary:secondary_structural_marker_neutral
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1246,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1246,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1247,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1247,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1247,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1248,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_invariant_bullet,not_primary:secondary_structural_marker_neutral
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N7_seed1248,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1248,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1248,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1248,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1249,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1249,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1249,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1250,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1250,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1251,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_invariant_bullet,not_primary:secondary_structural_marker_neutral
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1251,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1251,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1251,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1252,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_invariant_bullet,not_primary:secondary_structural_marker_neutral
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1252,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1252,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1253,structural_fallback,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,structural_invariant_bullet,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1253,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N8_seed1253,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1253,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1254,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N9_seed1255,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1256,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_invariant_bullet,not_primary:secondary_structural_marker_neutral
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N2_seed1256,structural_fallback,one_to_one,secondary_structural_marker_neutral,structural_invariant_bullet,not_primary:secondary_structural_marker_neutral
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N4_seed1256,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1256,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N6_seed1256,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N10_seed1256,rank_supported_episode,partial_unique,secondary_local_partial_unique,adjacent_rank_after_city,not_primary:secondary_local_partial_unique
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N1_seed1257,structural_fallback,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,structural_invariant_bullet,not_primary:occurrence_retrieval_only_duplicates
cohort_scope,Gemma4-E4B,Gemma4-E4B/native_thinking/v5/V4_4_T10000_N5_seed1257,rank_supported_episode,partial_unique,secondary_local_partial_unique,same_unit_rank_before_city,not_primary:secondary_local_partial_unique
