model_label,request_id,seed,split,sequence_source,trace_category,causal_cohort,grammar_signature,transition_kind,allowed_estimands,anchor_equivalence_id,anchor_role,anchor_roles,event_specific,from_occurrence,gold_count,grammar_pair,local_anchor_eligible,not_applicable_reason,primary_anchor_eligible,query_full_sequence_token,query_output_token,query_token_id,query_token_text,status,target_city,target_city_output_token_end,target_city_output_token_start,target_city_token_ids,target_city_token_text,target_grammar_class,timing_stage,to_occurrence
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,2->3@q737,unit_pre_d1,unit_pre_d1|pre_marker_d1,True,2,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10825,737,13,.,ok,Baku,743,741,"[425, 23557]", Baku,same_unit_rank_before_city,P1_target_unit_entry,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,2->3@q737,pre_marker_d1,unit_pre_d1|pre_marker_d1,True,2,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10825,737,13,.,ok,Baku,743,741,"[425, 23557]", Baku,same_unit_rank_before_city,P1_pre_marker,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,,post_open_delimiter,,True,2,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,delimiter_not_present,False,,,,,not_applicable,Baku,743,741,"[425, 23557]", Baku,same_unit_rank_before_city,P2_post_delimiter,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,2->3@q738,post_marker,post_marker,True,2,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10826,738,20861, Third,ok,Baku,743,741,"[425, 23557]", Baku,same_unit_rank_before_city,P2_post_marker,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,,record_clause_pre_d1,,True,2,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,canonical_clause_not_present,False,,,,,not_applicable,Baku,743,741,"[425, 23557]", Baku,same_unit_rank_before_city,P1_record_clause_entry,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N2_seed1234,1234,discovery,rank_supported_episode,full_coverage_with_duplicates,occurrence_retrieval_only_duplicates,same_unit_rank_before_city,continue_to_next_city,occurrence_source_to_city_retrieval,2->3@q740,city_pre_d1,city_pre_d1,True,2,2,same_unit_rank_before_city -> same_unit_rank_before_city,False,,False,10828,740,25,:,ok,Baku,743,741,"[425, 23557]", Baku,same_unit_rank_before_city,P3_city_emission,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q125,p0_item_end,p0_item_end,True,1,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10213,125,13,.,ok,Baku,152,150,"[425, 23557]", Baku,adjacent_rank_after_city,P0_previous_item_commit,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q81,block_pre_d1,block_pre_d1,False,1,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,False,10169,81,382,".

",ok,Baku,152,150,"[425, 23557]", Baku,adjacent_rank_after_city,exploratory_block_entry,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q126,unit_pre_d1,unit_pre_d1,True,1,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10214,126,4710," 

",ok,Baku,152,150,"[425, 23557]", Baku,adjacent_rank_after_city,P1_target_unit_entry,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,pre_marker_d1,,True,1,3,adjacent_rank_after_city -> adjacent_rank_after_city,False,rank_marker_not_before_target_city,False,,,,,not_applicable,Baku,152,150,"[425, 23557]", Baku,adjacent_rank_after_city,P1_pre_marker,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,post_open_delimiter,,True,1,3,adjacent_rank_after_city -> adjacent_rank_after_city,False,delimiter_not_present,False,,,,,not_applicable,Baku,152,150,"[425, 23557]", Baku,adjacent_rank_after_city,P2_post_delimiter,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,post_marker,,True,1,3,adjacent_rank_after_city -> adjacent_rank_after_city,False,rank_marker_not_before_target_city,False,,,,,not_applicable,Baku,152,150,"[425, 23557]", Baku,adjacent_rank_after_city,P2_post_marker,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q138,record_clause_pre_d1,record_clause_pre_d1,True,1,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10226,138,330," """,ok,Baku,152,150,"[425, 23557]", Baku,adjacent_rank_after_city,P1_record_clause_entry,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q149,city_pre_d1,city_pre_d1,True,1,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10237,149,11,",",ok,Baku,152,150,"[425, 23557]", Baku,adjacent_rank_after_city,P3_city_emission,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q165,p0_item_end,p0_item_end,True,2,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10253,165,13,.,ok,Taipei,187,186,[96345], Taipei,adjacent_rank_after_city,P0_previous_item_commit,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q81,block_pre_d1,block_pre_d1,False,2,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,False,10169,81,382,".

",ok,Taipei,187,186,[96345], Taipei,adjacent_rank_after_city,exploratory_block_entry,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q166,unit_pre_d1,unit_pre_d1,True,2,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10254,166,4710," 

",ok,Taipei,187,186,[96345], Taipei,adjacent_rank_after_city,P1_target_unit_entry,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,pre_marker_d1,,True,2,3,adjacent_rank_after_city -> adjacent_rank_after_city,False,rank_marker_not_before_target_city,False,,,,,not_applicable,Taipei,187,186,[96345], Taipei,adjacent_rank_after_city,P1_pre_marker,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,post_open_delimiter,,True,2,3,adjacent_rank_after_city -> adjacent_rank_after_city,False,delimiter_not_present,False,,,,,not_applicable,Taipei,187,186,[96345], Taipei,adjacent_rank_after_city,P2_post_delimiter,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,post_marker,,True,2,3,adjacent_rank_after_city -> adjacent_rank_after_city,False,rank_marker_not_before_target_city,False,,,,,not_applicable,Taipei,187,186,[96345], Taipei,adjacent_rank_after_city,P2_post_marker,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q174,record_clause_pre_d1,record_clause_pre_d1,True,2,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10262,174,330," """,ok,Taipei,187,186,[96345], Taipei,adjacent_rank_after_city,P1_record_clause_entry,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N3_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q185,city_pre_d1,city_pre_d1,True,2,3,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10273,185,11,",",ok,Taipei,187,186,[96345], Taipei,adjacent_rank_after_city,P3_city_emission,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q120,p0_item_end,p0_item_end|unit_pre_d1,True,1,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10208,120,13,.,ok,Baku,143,141,"[425, 23557]", Baku,adjacent_rank_after_city,P0_previous_item_commit,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q81,block_pre_d1,block_pre_d1,False,1,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,False,10169,81,382,".

",ok,Baku,143,141,"[425, 23557]", Baku,adjacent_rank_after_city,exploratory_block_entry,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q120,unit_pre_d1,p0_item_end|unit_pre_d1,True,1,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10208,120,13,.,ok,Baku,143,141,"[425, 23557]", Baku,adjacent_rank_after_city,P1_target_unit_entry,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,pre_marker_d1,,True,1,4,adjacent_rank_after_city -> adjacent_rank_after_city,False,rank_marker_not_before_target_city,False,,,,,not_applicable,Baku,143,141,"[425, 23557]", Baku,adjacent_rank_after_city,P1_pre_marker,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,post_open_delimiter,,True,1,4,adjacent_rank_after_city -> adjacent_rank_after_city,False,delimiter_not_present,False,,,,,not_applicable,Baku,143,141,"[425, 23557]", Baku,adjacent_rank_after_city,P2_post_delimiter,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,post_marker,,True,1,4,adjacent_rank_after_city -> adjacent_rank_after_city,False,rank_marker_not_before_target_city,False,,,,,not_applicable,Baku,143,141,"[425, 23557]", Baku,adjacent_rank_after_city,P2_post_marker,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q129,record_clause_pre_d1,record_clause_pre_d1,True,1,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10217,129,330," """,ok,Baku,143,141,"[425, 23557]", Baku,adjacent_rank_after_city,P1_record_clause_entry,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,1->2@q140,city_pre_d1,city_pre_d1,True,1,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10228,140,11,",",ok,Baku,143,141,"[425, 23557]", Baku,adjacent_rank_after_city,P3_city_emission,2
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q155,p0_item_end,p0_item_end|unit_pre_d1,True,2,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10243,155,13,.,ok,Taipei,179,178,[96345], Taipei,adjacent_rank_after_city,P0_previous_item_commit,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q81,block_pre_d1,block_pre_d1,False,2,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,False,10169,81,382,".

",ok,Taipei,179,178,[96345], Taipei,adjacent_rank_after_city,exploratory_block_entry,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q155,unit_pre_d1,p0_item_end|unit_pre_d1,True,2,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10243,155,13,.,ok,Taipei,179,178,[96345], Taipei,adjacent_rank_after_city,P1_target_unit_entry,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,pre_marker_d1,,True,2,4,adjacent_rank_after_city -> adjacent_rank_after_city,False,rank_marker_not_before_target_city,False,,,,,not_applicable,Taipei,179,178,[96345], Taipei,adjacent_rank_after_city,P1_pre_marker,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,post_open_delimiter,,True,2,4,adjacent_rank_after_city -> adjacent_rank_after_city,False,delimiter_not_present,False,,,,,not_applicable,Taipei,179,178,[96345], Taipei,adjacent_rank_after_city,P2_post_delimiter,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,post_marker,,True,2,4,adjacent_rank_after_city -> adjacent_rank_after_city,False,rank_marker_not_before_target_city,False,,,,,not_applicable,Taipei,179,178,[96345], Taipei,adjacent_rank_after_city,P2_post_marker,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q166,record_clause_pre_d1,record_clause_pre_d1,True,2,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10254,166,330," """,ok,Taipei,179,178,[96345], Taipei,adjacent_rank_after_city,P1_record_clause_entry,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,2->3@q177,city_pre_d1,city_pre_d1,True,2,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10265,177,11,",",ok,Taipei,179,178,[96345], Taipei,adjacent_rank_after_city,P3_city_emission,3
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,3->4@q188,p0_item_end,p0_item_end|unit_pre_d1,True,3,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10276,188,13,.,ok,Harbin,210,208,"[5227, 6863]", Harbin,adjacent_rank_after_city,P0_previous_item_commit,4
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,3->4@q81,block_pre_d1,block_pre_d1,False,3,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,False,10169,81,382,".

",ok,Harbin,210,208,"[5227, 6863]", Harbin,adjacent_rank_after_city,exploratory_block_entry,4
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,3->4@q188,unit_pre_d1,p0_item_end|unit_pre_d1,True,3,4,adjacent_rank_after_city -> adjacent_rank_after_city,True,,True,10276,188,13,.,ok,Harbin,210,208,"[5227, 6863]", Harbin,adjacent_rank_after_city,P1_target_unit_entry,4
Qwen3-8B,Qwen3-8B/native_thinking/v5/V4_4_T10000_N4_seed1234,1234,discovery,rank_supported_episode,one_to_one,primary_rank_resolved_full_chain,adjacent_rank_after_city,continue_to_next_city,source_to_city_retrieval|rank_core_and_format_controls|continue_to_next_city|terminal_stop|serial_mediation,,pre_marker_d1,,True,3,4,adjacent_rank_after_city -> adjacent_rank_after_city,False,rank_marker_not_before_target_city,False,,,,,not_applicable,Harbin,210,208,"[5227, 6863]", Harbin,adjacent_rank_after_city,P1_pre_marker,4
