model,mode,primary_failure,failure_subtype,count,rate_of_500
Qwen3-32B,enumeration_bullet,wrong_count,Wrong count: overcount,61,0.122
Qwen3-32B,enumeration_bullet,wrong_count,Wrong count: undercount,10,0.02
Qwen3-32B,enumeration_index,enumeration_format_failure,Enumeration structure: no records,4,0.008
Qwen3-32B,enumeration_index,wrong_count,Wrong count: overcount,1,0.002
Qwen3-32B,enumeration_index,wrong_count,Wrong count: undercount,8,0.016
Qwen3-32B,native_thinking,wrong_count,Wrong count: overcount,7,0.014
Qwen3-32B,native_thinking,wrong_count,Wrong count: undercount,5,0.01
Qwen3-4B,direct,truncated,Direct: explanation/scan before Total; budget exhausted,7,0.014
Qwen3-4B,direct,truncated,Direct: explicit list before Total; budget exhausted,45,0.09
Qwen3-4B,direct,wrong_count,Wrong count: overcount,53,0.106
Qwen3-4B,direct,wrong_count,Wrong count: undercount,179,0.358
Qwen3-4B,enumeration_bullet,enumeration_format_failure,Enumeration structure: bullet marker split from city-score line,7,0.014
Qwen3-4B,enumeration_bullet,parse_failure,Listed records but omitted parsable Total,10,0.02
Qwen3-4B,enumeration_bullet,truncated,Enumeration: repeated-item/list loop,3,0.006
Qwen3-4B,enumeration_bullet,wrong_count,Wrong count: overcount,40,0.08
Qwen3-4B,enumeration_bullet,wrong_count,Wrong count: undercount,37,0.074
Qwen3-4B,enumeration_index,parse_failure,Listed records but omitted parsable Total,5,0.01
Qwen3-4B,enumeration_index,wrong_count,Wrong count: overcount,20,0.04
Qwen3-4B,enumeration_index,wrong_count,Wrong count: undercount,31,0.062
Qwen3-4B,native_thinking,truncated,Thinking: long scan/reasoning ended before Total,3,0.006
Qwen3-4B,native_thinking,truncated,Thinking: restart/rescan before final answer,1,0.002
Qwen3-4B,native_thinking,wrong_count,Wrong count: overcount,3,0.006
Qwen3-4B,native_thinking,wrong_count,Wrong count: undercount,29,0.058
Qwen3-8B,direct,truncated,Direct: explanation/scan before Total; budget exhausted,11,0.022
Qwen3-8B,direct,truncated,Direct: explicit list before Total; budget exhausted,3,0.006
Qwen3-8B,direct,wrong_count,Wrong count: overcount,69,0.138
Qwen3-8B,direct,wrong_count,Wrong count: undercount,132,0.264
Qwen3-8B,enumeration_bullet,wrong_count,Wrong count: overcount,15,0.03
Qwen3-8B,enumeration_bullet,wrong_count,Wrong count: undercount,38,0.076
Qwen3-8B,enumeration_index,enumeration_format_failure,Enumeration structure: index sequence error,1,0.002
Qwen3-8B,enumeration_index,wrong_count,Wrong count: overcount,5,0.01
Qwen3-8B,enumeration_index,wrong_count,Wrong count: undercount,14,0.028
Qwen3-8B,native_thinking,truncated,Thinking: long scan/reasoning ended before Total,1,0.002
Qwen3-8B,native_thinking,wrong_count,Wrong count: overcount,5,0.01
Qwen3-8B,native_thinking,wrong_count,Wrong count: undercount,16,0.032
