model,mode,L,n,success_rate
Gemma4-E4B,direct,3000,100,0.23
Gemma4-E4B,direct,5000,100,0.29
Gemma4-E4B,direct,10000,100,0.26
Gemma4-E4B,direct,20000,100,0.26
Gemma4-E4B,enumeration_bullet,2000,100,0.96
Gemma4-E4B,enumeration_bullet,3000,100,0.93
Gemma4-E4B,enumeration_bullet,5000,100,0.84
Gemma4-E4B,enumeration_bullet,10000,100,0.74
Gemma4-E4B,enumeration_bullet,20000,100,0.5
Gemma4-E4B,enumeration_index,2000,100,1.0
Gemma4-E4B,enumeration_index,3000,100,0.99
Gemma4-E4B,enumeration_index,5000,100,0.96
Gemma4-E4B,enumeration_index,10000,100,0.9
Gemma4-E4B,enumeration_index,20000,100,0.56
Gemma4-E4B,native_thinking,2000,100,0.93
Gemma4-E4B,native_thinking,3000,100,0.97
Gemma4-E4B,native_thinking,5000,100,0.9
Gemma4-E4B,native_thinking,10000,100,0.67
Gemma4-E4B,native_thinking,20000,100,0.49
Qwen3-1.7B,direct,2000,100,0.3
Qwen3-1.7B,direct,3000,100,0.24
Qwen3-1.7B,direct,5000,100,0.19
Qwen3-1.7B,direct,10000,100,0.15
Qwen3-1.7B,direct,20000,100,0.1
Qwen3-1.7B,enumeration_bullet,2000,100,0.53
Qwen3-1.7B,enumeration_bullet,3000,100,0.58
Qwen3-1.7B,enumeration_bullet,5000,100,0.41
Qwen3-1.7B,enumeration_bullet,10000,100,0.27
Qwen3-1.7B,enumeration_bullet,20000,100,0.11
Qwen3-1.7B,enumeration_index,2000,100,0.38
Qwen3-1.7B,enumeration_index,3000,100,0.38
Qwen3-1.7B,enumeration_index,5000,100,0.33
Qwen3-1.7B,enumeration_index,10000,100,0.1
Qwen3-1.7B,enumeration_index,20000,100,0.05
Qwen3-1.7B,native_thinking,2000,100,0.69
Qwen3-1.7B,native_thinking,3000,100,0.65
Qwen3-1.7B,native_thinking,5000,100,0.63
Qwen3-1.7B,native_thinking,10000,100,0.59
Qwen3-1.7B,native_thinking,20000,100,0.45
Qwen3-32B,direct,2000,100,0.63
Qwen3-32B,direct,3000,100,0.61
Qwen3-32B,direct,5000,100,0.7
Qwen3-32B,direct,10000,100,0.61
Qwen3-32B,direct,20000,100,0.45
Qwen3-32B,enumeration_bullet,2000,100,0.9
Qwen3-32B,enumeration_bullet,3000,100,0.89
Qwen3-32B,enumeration_bullet,5000,100,0.83
Qwen3-32B,enumeration_bullet,10000,100,0.85
Qwen3-32B,enumeration_bullet,20000,100,0.82
Qwen3-32B,enumeration_index,2000,100,1.0
Qwen3-32B,enumeration_index,3000,100,0.99
Qwen3-32B,enumeration_index,5000,100,1.0
Qwen3-32B,enumeration_index,10000,100,0.98
Qwen3-32B,enumeration_index,20000,100,0.9
Qwen3-32B,native_thinking,2000,100,1.0
Qwen3-32B,native_thinking,3000,100,1.0
Qwen3-32B,native_thinking,5000,100,1.0
Qwen3-32B,native_thinking,10000,100,0.98
Qwen3-32B,native_thinking,20000,100,0.9
Qwen3-4B,direct,2000,100,0.42
Qwen3-4B,direct,3000,100,0.46
Qwen3-4B,direct,5000,100,0.43
Qwen3-4B,direct,10000,100,0.41
Qwen3-4B,direct,20000,100,0.44
Qwen3-4B,enumeration_bullet,2000,100,0.84
Qwen3-4B,enumeration_bullet,3000,100,0.88
Qwen3-4B,enumeration_bullet,5000,100,0.79
Qwen3-4B,enumeration_bullet,10000,100,0.79
Qwen3-4B,enumeration_bullet,20000,100,0.73
Qwen3-4B,enumeration_index,2000,100,0.94
Qwen3-4B,enumeration_index,3000,100,0.95
Qwen3-4B,enumeration_index,5000,100,0.89
Qwen3-4B,enumeration_index,10000,100,0.88
Qwen3-4B,enumeration_index,20000,100,0.78
Qwen3-4B,native_thinking,2000,100,0.98
Qwen3-4B,native_thinking,3000,100,0.99
Qwen3-4B,native_thinking,5000,100,0.95
Qwen3-4B,native_thinking,10000,100,0.92
Qwen3-4B,native_thinking,20000,100,0.8
Qwen3-8B,direct,2000,100,0.61
Qwen3-8B,direct,3000,100,0.65
Qwen3-8B,direct,5000,100,0.63
Qwen3-8B,direct,10000,100,0.54
Qwen3-8B,direct,20000,100,0.42
Qwen3-8B,enumeration_bullet,2000,100,0.9
Qwen3-8B,enumeration_bullet,3000,100,0.95
Qwen3-8B,enumeration_bullet,5000,100,0.92
Qwen3-8B,enumeration_bullet,10000,100,0.89
Qwen3-8B,enumeration_bullet,20000,100,0.81
Qwen3-8B,enumeration_index,2000,100,0.96
Qwen3-8B,enumeration_index,3000,100,0.99
Qwen3-8B,enumeration_index,5000,100,1.0
Qwen3-8B,enumeration_index,10000,100,0.96
Qwen3-8B,enumeration_index,20000,100,0.89
Qwen3-8B,native_thinking,2000,100,0.99
Qwen3-8B,native_thinking,3000,100,0.99
Qwen3-8B,native_thinking,5000,100,0.98
Qwen3-8B,native_thinking,10000,100,0.96
Qwen3-8B,native_thinking,20000,100,0.86
